ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction
TLT,2026-03-20 19:54:37.702997+00:00,PUT,85.0,2026-03-23,16796,988,13511,806,85.0,REPEATEDHITS,True,False,16796,0,3,ASK,SHORT
LITE,2026-03-20 19:54:37.702997+00:00,CALL,750.0,2026-04-17,442210,88,457,1062,695.0,REPEATEDHITSASCENDINGFILL,True,False,311670,40180,28,ASK,LONG
SNDK,2026-03-20 19:54:37.702997+00:00,CALL,705.0,2026-04-02,66950,14,30,46,702.0,REPEATEDHITSASCENDINGFILL,False,False,4790,62160,13,BID,
SOFI,2026-03-20 19:54:32.888989+00:00,PUT,16.5,2026-03-27,16506,393,19664,5314,16.0,REPEATEDHITS,True,False,0,16506,7,BID,
XLF,2026-03-20 19:54:32.888989+00:00,CALL,50.0,2026-03-27,11015,400,4105,6376,49.0,REPEATEDHITSASCENDINGFILL,False,False,6263,0,7,ASK,LONG
TLT,2026-03-20 19:54:30.881577+00:00,PUT,85.0,2026-04-17,48800,400,4532,17669,85.0,REPEATEDHITS,False,False,48800,0,28,ASK,SHORT
LITE,2026-03-20 19:54:30.881577+00:00,CALL,750.0,2026-04-17,263000,50,302,1062,697.0,REPEATEDHITS,False,False,220920,0,28,ASK,LONG
GDDY,2026-03-20 19:54:30.881577+00:00,PUT,92.5,2026-05-15,33300,30,30,114,84.0,REPEATEDHITS,False,False,0,33300,56,BID,
IBIT,2026-03-20 19:54:29.472288+00:00,PUT,39.0,2026-04-17,68950,350,3648,11147,39.0,REPEATEDHITS,False,False,0,68950,28,BID,
LITE,2026-03-20 19:54:29.472288+00:00,CALL,750.0,2026-04-17,293420,56,249,1062,697.0,REPEATEDHITSASCENDINGFILL,False,False,204360,10460,28,ASK,LONG
LITE,2026-03-20 19:54:29.472288+00:00,CALL,750.0,2026-04-17,183050,35,193,1062,697.0,REPEATEDHITS,False,False,52300,0,28,ASK,LONG
AAPL,2026-03-20 19:54:26.857828+00:00,CALL,245.0,2026-03-23,213053,698,2324,173,246.0,REPEATEDHITSDESCENDINGFILL,False,False,1240,211813,3,BID,
GLD,2026-03-20 19:54:26.857828+00:00,PUT,400.0,2026-03-27,103065,243,12570,1411,414.0,REPEATEDHITSASCENDINGFILL,False,False,42500,17640,7,ASK,SHORT
XLE,2026-03-20 19:54:26.857828+00:00,PUT,59.5,2026-03-20,11220,2244,4975,5193,59.0,REPEATEDHITS,False,False,0,11220,0,BID,
GLD,2026-03-20 19:54:26.857828+00:00,PUT,406.0,2026-03-31,23265,33,54,641,414.0,REPEATEDHITS,False,False,0,23265,11,BID,
IYR,2026-03-20 19:54:25.440833+00:00,CALL,96.0,2026-04-02,10790,166,2421,0,93.0,REPEATEDHITS,False,False,0,10790,13,BID,
GLD,2026-03-20 19:54:25.440833+00:00,PUT,405.0,2026-04-10,37723,41,108,4363,414.0,REPEATEDHITS,True,False,923,36800,21,BID,
GLD,2026-03-20 19:54:25.440833+00:00,PUT,395.0,2026-04-10,50845,82,118,77,414.0,REPEATEDHITS,True,False,625,50220,21,BID,
GLD,2026-03-20 19:54:25.440833+00:00,PUT,395.0,2026-04-17,254507,351,611,597,414.0,REPEATEDHITSASCENDINGFILL,False,False,1454,253053,28,BID,
GLD,2026-03-20 19:54:25.440833+00:00,PUT,400.0,2026-04-10,569244,749,3416,4514,414.0,REPEATEDHITS,False,False,759,568485,21,BID,
TLT,2026-03-20 19:54:22.633447+00:00,PUT,83.0,2026-06-18,38250,250,840,23681,85.0,REPEATEDHITS,False,False,0,38250,90,BID,
NVDA,2026-03-20 19:54:22.633447+00:00,CALL,250.0,2027-01-15,732990,922,22886,51744,172.0,REPEATEDHITS,False,False,407835,199545,301,ASK,LONG
HL,2026-03-20 19:54:21.030482+00:00,PUT,17.0,2026-03-27,12000,150,293,2216,17.0,REPEATEDHITS,True,False,11280,720,7,ASK,SHORT
TLT,2026-03-20 19:54:19.625542+00:00,PUT,84.0,2026-04-17,35600,400,8864,10351,85.0,REPEATEDHITS,False,False,35600,0,28,ASK,SHORT
SRAD,2026-03-20 19:54:19.625542+00:00,CALL,22.5,2026-04-17,31200,624,664,1760,19.0,REPEATEDHITS,False,False,31200,0,28,ASK,LONG
SNDK,2026-03-20 19:54:19.625542+00:00,PUT,660.0,2026-03-27,178180,100,520,178,703.0,REPEATEDHITSDESCENDINGFILL,False,False,0,178180,7,BID,
