ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,is_multileg,ask_side_premium,bid_side_premium,marketcap,dte,execution_side,direction,direction_confidence
VSH,2026-05-08 17:14:33.393780+00:00,CALL,45.0,2026-07-17,36720,219,2223,40,33.95,REPEATEDHITSDESCENDINGFILL,True,False,False,28720,8000,394246053.0,70,ASK,LONG,1.0
VSH,2026-05-08 17:14:27.180113+00:00,CALL,45.0,2026-07-17,34350,205,1727,40,33.95,REPEATEDHITSDESCENDINGFILL,True,False,False,34350,0,394246053.0,70,ASK,LONG,1.0
VSH,2026-05-08 17:14:27.180113+00:00,CALL,45.0,2026-07-17,37755,225,1954,40,33.95,REPEATEDHITSASCENDINGFILL,True,False,False,29505,8250,394246053.0,70,ASK,LONG,1.0
VSH,2026-05-08 17:14:25.974486+00:00,CALL,45.0,2026-07-17,152960,910,1522,40,33.97,REPEATEDHITSDESCENDINGFILL,True,False,False,137945,15015,394246053.0,70,ASK,LONG,1.0
VSH,2026-05-08 17:14:20.160577+00:00,CALL,45.0,2026-07-17,19330,117,586,40,33.97,REPEATEDHITSASCENDINGFILL,True,False,False,10530,8800,394246053.0,70,ASK,LONG,1.0
VSH,2026-05-08 17:14:16.353784+00:00,CALL,45.0,2026-07-17,12710,77,460,40,33.96,REPEATEDHITS,False,False,False,170,12540,394246053.0,70,BID,SHORT,0.5
VSH,2026-05-06 17:30:22.291916+00:00,CALL,35.0,2026-10-16,77400,129,129,61,33.91,REPEATEDHITS,False,False,False,77400,0,394246053.0,163,ASK,LONG,1.0
VSH,2026-05-06 17:29:31.765188+00:00,CALL,40.0,2026-05-15,31437,572,791,503,33.83,REPEATEDHITSASCENDINGFILL,True,False,False,30120,1317,394246053.0,9,ASK,LONG,1.0
VSH,2026-05-04 19:18:59.856468+00:00,CALL,40.0,2026-07-17,29693,283,402,38,30.46,REPEATEDHITSDESCENDINGFILL,False,False,False,29588,105,394246053.0,74,ASK,LONG,1.0
VSH,2026-05-04 14:46:01.316364+00:00,CALL,35.0,2026-12-18,75194,160,204,100,30.81,REPEATEDHITSDESCENDINGFILL,False,False,False,75194,0,394246053.0,228,ASK,LONG,1.0
VSH,2026-05-04 14:46:01.316364+00:00,CALL,40.0,2026-12-18,36958,112,151,76,30.81,REPEATEDHITS,False,False,False,36958,0,394246053.0,228,ASK,LONG,1.0
