ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction,direction_confidence
SOXS,2026-03-24 15:16:58.736046+00:00,CALL,36.0,2026-04-02,10442,29,30,22,37.27,REPEATEDHITS,True,False,0,10442,9,BID,SHORT,0.5
SOXS,2026-03-24 15:15:25.028973+00:00,CALL,43.0,2026-04-10,30392,131,151,262,37.43,REPEATEDHITS,False,False,0,30392,17,BID,SHORT,0.5
SOXS,2026-03-24 15:11:30.356330+00:00,PUT,41.5,2026-05-01,38938,44,44,1,37.53,REPEATEDHITS,True,False,38938,0,38,ASK,SHORT,1.0
SOXS,2026-03-24 15:11:10.318123+00:00,PUT,35.0,2026-03-27,18615,255,271,210,37.655,REPEATEDHITS,True,False,18615,0,3,ASK,SHORT,1.0
SOXS,2026-03-24 15:09:17.183819+00:00,PUT,37.5,2026-03-27,113575,649,652,322,37.7001,REPEATEDHITS,False,False,875,112700,3,BID,LONG,0.5
SOXS,2026-03-24 14:23:05.147078+00:00,CALL,39.0,2026-03-27,23582,115,225,631,38.9886,REPEATEDHITS,False,False,23582,0,3,ASK,LONG,1.0
SOXS,2026-03-24 14:22:55.329809+00:00,PUT,43.0,2026-03-27,24750,50,51,3,38.91,REPEATEDHITS,True,False,0,24750,3,BID,LONG,0.5
SOXS,2026-03-24 14:07:12.661426+00:00,CALL,37.0,2026-04-24,49140,78,78,97,38.555,REPEATEDHITS,True,False,0,49140,31,BID,SHORT,0.5
SOXS,2026-03-24 14:05:02.865210+00:00,CALL,40.0,2026-04-17,22295,49,56,146,38.705,REPEATEDHITS,False,False,0,22295,24,BID,SHORT,0.5
SOXS,2026-03-23 19:26:46.337844+00:00,PUT,35.0,2026-04-02,49266,306,338,9,38.515,REPEATEDHITS,True,False,0,49266,10,BID,LONG,0.5
SOXS,2026-03-23 18:35:07.423965+00:00,CALL,41.0,2026-05-15,35340,57,75,24,38.2,REPEATEDHITS,False,False,0,35340,53,BID,SHORT,0.5
SOXS,2026-03-23 17:04:18.891267+00:00,CALL,37.0,2026-04-17,10800,18,186,19,39.31,REPEATEDHITS,True,False,0,10800,25,BID,SHORT,0.5
SOXS,2026-03-23 16:46:06.110178+00:00,CALL,35.0,2026-05-15,65250,75,97,189,38.86,REPEATEDHITS,False,False,0,65250,53,BID,SHORT,0.5
