ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
IBM,SHORT,0.3619152357453726,3.619152357453726,0.0,2.1715,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,766410870.0536963,18,1.0,1.7452674522142808,3e-06,4e-06,68.42588513901711,31.365226024104366,1.46516,2,3,0.537552,0.0,0.728407,,,,
ACMR,SHORT,0.3581383424226826,3.581383424226826,2.77,3.5817,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",4.8,NEUTRAL,unknown,,,60.0,39.0,16.71,24.14,38080.0,12116.0,0.318,31980.0,361.0,17855.0,77.1,0.842,0.0,0.28,1.0,0.0,0.49,1.0,195.68375594974148,4,1.0,0.7970472243375115,1.8e-05,4.2e-05,0.00013171949399662548,5.5086444890852356e-05,0.120273,1,0,0.0,0.007111,0.946634,,,,
CAR,SHORT,0.357174334532087,3.5717433453208702,0.0,2.143,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.61351338875795,4,1.0,0.0,0.0,1.8e-05,0.0,59050.37029965046,,0,1,0.0,0.61957,2.536707,,,,
META,SHORT,0.35685791409441486,3.5685791409441485,1.23,2.9133,price_validation_failed,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned",3.8,POSITIVE,unknown,23945.84,685.11,750.0,600.0,9.47,12.42,2026964.0,995849.0,0.491,1011988.0,551815.0,1459010.0,77.1,0.408,0.0,0.0,1.0,0.0,0.08,0.15,2.3641687531097664,23,1.0,0.5577188268193377,2e-06,4e-06,210505.02338552327,290337.9503777093,0.24147,5,2,0.575239,0.781797,0.32566,,,,
MRVL,SHORT,0.33745215973354337,3.3745215973354337,0.0,2.0247,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,19.042998387821914,12,1.0,4.977721213215412,8e-06,7e-06,92209.00232849091,13231.671737042489,3.643943,2,3,0.007087,0.363692,0.169511,,,,
CRDO,SHORT,0.3371553228968696,3.371553228968696,2.85,4.2808,price_validation_failed,"bounce_and_fail, room_to_target","confirmation_volume, momentum_aligned, not_extended, trend_aligned",8.7,NEGATIVE,bounce_and_fail,-1035890.52,156.43,200.0,60.0,27.86,61.64,125758.0,149904.0,1.192,161753.0,47425.0,66484.0,43.2,0.854,0.0,0.0,0.98,1.0,0.55,0.32,110.29688009741237,8,1.0,0.05443690046811542,1.5e-05,2.3e-05,1834.216109351271,33694.35242599092,0.208854,1,2,0.153675,0.158597,0.724107,,,,
ETHA,SHORT,0.3303339170888736,3.3033391708887363,0.0,1.982,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,1.912490583933414,3,1.0,3.5707380046022785,3.3e-05,8e-06,88695.73721502519,49679.21875013311,17.046265,0,0,0.439505,0.0,27.357143,,,,
INTC,SHORT,0.3219690440606987,3.2196904406069873,2.77,3.6208,price_validation_failed,"bounce_and_fail, confirmation_volume, room_to_target","momentum_aligned, not_extended, trend_aligned",5.9,NEGATIVE,bounce_and_fail,-5190054.34,68.83,70.0,35.0,1.69,49.15,2870734.0,2842485.0,0.99,1971684.0,1194771.0,2546764.0,91.4,0.738,0.0,0.0,1.0,1.0,0.36,0.41,0.7407568202791645,4,1.0,0.0,0.0,4e-06,0.0,328025.1570851374,,0,1,0.0,0.449344,11.513497,,,,
DLTR,SHORT,0.32065082178967125,3.2065082178967126,5.59,4.6003,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_aligned, trend_continuation",momentum_aligned,6.6,NEUTRAL,trend_continuation,,,135.0,100.0,27.77,5.36,39952.0,36173.0,0.905,26912.0,19636.0,29577.0,40.9,0.379,2.21,0.98,0.64,1.4,0.02,0.34,13491648299.092813,7,1.0,0.8254566171376364,9e-06,2e-05,3.332917514444658,3.0282489520787212,0.618534,1,2,0.0,0.0,0.709593,,,,
TSEM,SHORT,0.32036506519358376,3.2036506519358374,0.0,1.9222,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,1393622.0040577855,7,1.0,99.0,0.000252,2.8e-05,28.14097941090093,4.8487373343468586e-05,186.585831,0,0,0.342829,0.478095,0.440824,,,,
PATH,LONG,0.3709657620500222,3.709657620500222,3.38,4.5888,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target","confirmation_volume, continuation_pattern, trend_aligned",8.6,NEGATIVE,unknown,-2699026.22,10.44,15.0,10.0,43.54,4.31,653680.0,214376.0,0.328,488222.0,22131.0,357703.0,38.0,0.618,0.0,0.79,1.0,0.0,1.29,0.31,313.6076513863009,4,1.0,22.948986190461564,5e-05,1.1e-05,0.4144588278020525,0.05418001793573566,0.826161,0,0,0.003317,0.0,0.131374,,,,
QCOM,LONG,0.3543101216504069,3.543101216504069,4.56,3.9196,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",3.9,POSITIVE,trend_continuation,54278321.82,136.17,145.0,125.0,6.49,8.2,319834.0,246385.0,0.77,199642.0,88157.0,278420.0,83.0,0.419,0.0,0.27,1.0,1.4,1.85,0.04,111966.6209690094,13,1.0,1.1373700740496642,6e-06,3e-06,21028.20607928687,29581.514842450346,1.07228,2,1,0.155425,0.308743,0.125274,,,,
AVGO,LONG,0.3530300044909971,3.530300044909971,0.0,2.1182,watchlist_reeval_failed,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.9341016876662085,13,1.0,0.6339718702508593,2e-06,1e-06,35807.576846352014,188271.11278708707,0.212964,0,0,0.791947,0.077048,0.1675,,,,
NET,SHORT,0.46899224518453525,4.689922451845352,2.92,4.381,watchlist_reeval_failed,"not_extended, resistance_ema_confluence","confirmation_volume, momentum_aligned, room_to_target, trend_aligned",5.8,NEGATIVE,resistance_ema_confluence,-2206760.99,,250.0,160.0,25.36,19.77,161764.0,107005.0,0.661,117536.0,45997.0,105236.0,97.1,0.797,0.0,0.95,0.05,1.6,0.24,0.09,6116.156791785524,18,1.0,1.0344512183472827,7e-06,4.5e-05,10368.906632082797,5011.791009656765,1.886654,0,2,0.098726,0.204058,0.570593,,,,
