ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_candle,price_pullback_vol,price_confirm_vol
FCX,LONG,0.307267476554338,3.07267476554338,1.82,3.8423,price_validation_failed,"healthy_pullback_volume, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, not_extended, pullback_to_support, structural_breakout, trend_aligned",8.8,NEGATIVE,unknown,-5046156.16,,65.0,35.0,24.78,32.81,749348.0,663996.0,0.886,144250.0,349865.0,507848.0,0.0,0.0,1.0,0.0,0.0,0.54,0.28
CRM,LONG,0.30725518412279607,3.072551841227961,0.0,1.8435,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
TEM,LONG,0.30476455385811085,3.0476455385811088,0.0,1.8286,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
OPEN,LONG,0.2969485746149083,2.969485746149083,3.95,3.9497,price_validation_failed,"healthy_pullback_volume, not_extended, room_to_target, support_ema_confluence","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, pullback_to_support, structural_breakout, trend_aligned",6.4,POSITIVE,unknown,1394038.83,4.92,7.0,4.0,42.57,18.53,615813.0,212161.0,0.345,159344.0,176468.0,312440.0,0.0,0.74,0.46,1.6,0.0,1.0,0.15
DVA,LONG,0.29002676202406846,2.9002676202406845,5.78,4.1241,price_validation_failed,"healthy_pullback_volume, not_extended, support_ema_confluence, trend_aligned","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, pullback_to_support, room_to_target, structural_breakout",4.7,NEUTRAL,unknown,,,160.0,110.0,7.16,26.33,15242.0,21495.0,1.41,2978.0,16.0,15361.0,2.15,0.96,0.09,1.6,0.0,0.68,0.3
DAL,LONG,0.2892160807095799,2.8921608070957987,0.0,1.7353,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
GS,LONG,0.2856766190476191,2.8567661904761907,0.0,1.7141,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
SBUX,LONG,0.27597803780572894,2.7597803780572896,0.0,1.6559,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
VRT,LONG,0.27289311326920695,2.7289311326920695,0.0,1.6374,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
GOOG,LONG,0.2683724198669805,2.6837241986698053,0.0,1.6102,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
META,LONG,0.26690846626959325,2.6690846626959326,2.27,3.8955,price_validation_failed,"confirmation_volume, healthy_pullback_volume, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, not_extended, pullback_to_support, structural_breakout, trend_aligned",9.4,NEGATIVE,unknown,-162388.63,593.42,700.0,500.0,17.91,15.78,1424810.0,921015.0,0.646,397445.0,664060.0,859859.0,0.0,0.0,1.0,0.0,0.0,0.55,0.73
PLTR,LONG,0.2663794285714286,2.6637942857142862,0.0,1.5983,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
ZS,LONG,0.26197399022214574,2.6197399022214576,0.0,1.5718,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
SCHW,LONG,0.2609401552051197,2.609401552051197,0.0,1.5656,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
CEG,LONG,0.26003938868335685,2.6003938868335688,3.27,3.6612,price_validation_failed,"confirmation_volume, ema_pullback, healthy_pullback_volume, not_extended","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, pullback_to_support, room_to_target, structural_breakout, trend_aligned",6.9,NEUTRAL,unknown,,,310.0,200.0,9.93,29.08,99079.0,122560.0,1.237,31438.0,84007.0,57088.0,0.0,0.14,0.1,1.2,0.0,0.94,0.89
EBAY,LONG,0.25437115482271067,2.5437115482271064,4.69,3.3589,price_validation_failed,"confirmation_volume, ema_pullback, healthy_pullback_volume, not_extended, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, pullback_to_support, structural_breakout, trend_aligned",3.4,NEUTRAL,unknown,,,90.0,80.0,1.15,10.09,78887.0,77005.0,0.976,23542.0,18869.0,41570.0,0.0,0.79,0.95,1.2,0.0,0.74,1.0
CDE,LONG,0.2502364866460742,2.502364866460742,1.86,3.0292,price_validation_failed,"confirmation_volume, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, structural_breakout, trend_aligned",6.1,POSITIVE,unknown,607818.34,17.66,30.0,17.5,69.78,0.96,389598.0,98628.0,0.253,53458.0,120024.0,179829.0,0.0,0.0,1.0,0.0,0.0,0.24,0.62
AEM,LONG,0.24518294000000002,2.4518294000000003,0.0,1.4711,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
CVI,SHORT,0.6183333333333334,6.183333333333334,1.79,4.8287,price_validation_failed,"confirmation_volume, room_to_target","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, structural_breakdown, trend_aligned",6.0,NEUTRAL,unknown,,,35.0,25.0,3.49,26.08,25564.0,9922.0,0.388,9509.0,2463.0,9315.0,0.0,0.0,1.0,0.0,0.0,0.0,0.79
RVMD,SHORT,0.6066155877825912,6.066155877825912,0.0,3.6397,weak_bearish_flow,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
PL,SHORT,0.5835371733538463,5.835371733538462,4.2,5.0577,price_validation_failed,"bearish_rejection_wick, confirmation_volume, ema_rally, room_to_target","bearish_strong_close, bounce_and_fail, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, structural_breakdown, trend_aligned",4.4,POSITIVE,unknown,1346110.36,33.84,35.0,15.0,3.46,55.66,155861.0,96208.0,0.617,67937.0,31615.0,97070.0,0.0,0.0,1.0,1.2,1.0,0.0,1.0
CRM,SHORT,0.5469110290850058,5.4691102908500575,0.0,3.2815,weak_bearish_flow,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
LYV,SHORT,0.5403184565682556,5.403184565682556,5.26,5.6396,price_validation_failed,"bearish_strong_close, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, room_to_target","bearish_rejection_wick, bounce_and_fail, pullback_to_resistance, structural_breakdown, trend_aligned",6.8,NEUTRAL,flag_breakdown,,,180.0,120.0,20.93,19.38,76306.0,84698.0,1.11,22345.0,17116.0,93789.0,0.0,0.31,0.64,1.6,0.98,1.0,0.72
DAL,SHORT,0.5105548161671066,5.1055481616710665,6.14,5.9348,price_validation_failed,"not_extended, retest_and_confirm, room_to_target, trend_aligned","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, pullback_to_resistance, structural_breakdown",7.7,NEGATIVE,unknown,-9121908.55,,70.0,60.0,10.34,5.42,534488.0,384540.0,0.719,332919.0,201759.0,168535.0,2.0,0.96,0.93,1.4,0.39,0.22,0.24
CMG,SHORT,0.5074469337506415,5.074469337506415,4.6,5.6572,price_validation_failed,"bounce_and_fail, confirmation_volume, healthy_pullback_volume, not_extended, trend_aligned","bearish_rejection_wick, bearish_strong_close, flag_breakdown, pullback_to_resistance, room_to_target, structural_breakdown",8.7,NEGATIVE,bounce_and_fail,-20873567.94,,40.0,27.5,19.87,17.59,549899.0,495953.0,0.902,118249.0,270210.0,385496.0,2.09,0.39,0.12,1.0,0.0,0.34,0.66
BA,SHORT,0.5070463206350906,5.070463206350906,0.0,3.0423,weak_bearish_flow,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
GLNG,SHORT,0.5015757964129485,5.0157579641294845,0.0,3.0095,weak_bearish_flow,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
GPRE,SHORT,0.49324469314955033,4.9324469314955035,0.0,2.9595,weak_bearish_flow,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
ULTA,SHORT,0.47294632468686065,4.729463246868606,4.02,4.7707,price_validation_failed,"bearish_rejection_wick, strong_trend, trend_aligned","bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown",6.0,NEUTRAL,unknown,,,640.0,500.0,20.76,5.66,34257.0,23563.0,0.688,13921.0,8954.0,15258.0,2.82,0.0,0.04,0.0,0.64,0.19,0.33
VSAT,SHORT,0.46963623177841624,4.696362317784162,0.0,2.8178,weak_bearish_flow,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
NEXT,SHORT,0.4604792466666667,4.604792466666667,3.0,3.7224,price_validation_failed,"bearish_rejection_wick, confirmation_volume, room_to_target","bearish_strong_close, bounce_and_fail, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, structural_breakdown, trend_aligned",2.6,POSITIVE,unknown,915959.26,7.32,15.0,7.0,104.64,4.5,197947.0,71428.0,0.361,90441.0,21595.0,130363.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
RKLB,SHORT,0.45069091778936693,4.506909177893669,0.0,2.7041,weak_bearish_flow,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,
LVS,SHORT,0.4389491241567581,4.389491241567581,5.91,5.4477,price_validation_failed,"confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, trend_aligned","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, pullback_to_resistance, room_to_target, structural_breakdown",7.4,NEUTRAL,flag_breakdown,,,55.0,45.0,3.91,14.98,127311.0,69565.0,0.546,18544.0,62143.0,35612.0,1.94,0.45,0.09,1.6,0.49,0.59,0.76
