ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
PL,LONG,0.5201877875963101,5.201877875963101,5.44,5.3929,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.8,NEGATIVE,trend_continuation,-247610.43,33.31,40.0,20.0,19.4,40.3,158147.0,117359.0,0.742,117682.0,47716.0,110108.0,,,2.14,0.2,0.26,1.4,0.8,0.64,4.590104551599586,4.0,1.0,0.5507028333965154,0.000958,0.000105,10900.47127591578,59381.23402427052,19.580667,0.141755,0.0,0.0,0.145427,0.0
ONON,LONG,0.5199758239485981,5.1997582394859805,0.0,3.1199,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1532069027091794,2.0,1.0,99.0,0.003484,0.0,33410.935987687444,0.0,1786.125,,0.0,0.0,0.071153,0.0
META,LONG,0.5126126969508056,5.126126969508055,0.0,3.0757,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,3.783623228978075,13.0,1.0,0.1965446669553605,0.000164,0.000841,146139.28540377974,1189667.7751075982,0.637478,0.339204,3.0,3.0,0.58802,0.421564
RKT,LONG,0.5021798275112875,5.021798275112875,0.0,3.0131,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,16.09898856600227,6.0,1.0,0.16166650270667896,0.001057,0.000773,568.2194950702225,7029.526655885871,2.110546,0.640287,1.0,2.0,0.625762,0.068722
PONY,LONG,0.48997968663772284,4.899796866377228,0.0,2.9399,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,47.53584066500454,2.0,1.0,99.0,0.004736,0.0,9306.348035419669,0.0,0.716494,,1.0,0.0,0.020603,0.0
HOOD,LONG,0.47301706466982774,4.730170646698277,0.0,2.8381,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,24.47093598647885,16.0,1.0,0.2356225975025471,0.000916,0.00063,1246.4912892333818,22924.211474607248,0.147382,4.26692,0.0,1.0,0.765785,0.087692
GLW,LONG,0.45314007203366613,4.531400720336661,7.16,5.6337,weak_relative_strength (-3.9% vs SPY),"confirmation_volume, momentum_aligned, not_extended, room_to_target, structural_breakout, trend_aligned",none,6.1,NEGATIVE,structural_breakout,-221879.21,137.07,150.0,120.0,9.31,12.55,203007.0,143871.0,0.709,150904.0,91196.0,104778.0,,,1.7,0.93,1.0,2.0,0.99,0.55,62.6374653294647,7.0,1.0,18.35403851556652,0.000536,0.000103,56544.41208971095,7701.903322496875,0.614598,6.044776,2.0,1.0,0.049079,0.422086
FRMI,LONG,0.45,4.5,0.0,2.7,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.008651,0.0,0.0284836264368533,0.0,24.154589,,0.0,0.0,0.0,0.0
UPRO,LONG,0.4022370418406356,4.022370418406355,0.0,2.4134,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,1038.684341966,6.0,1.0,0.0006089758311279894,0.000163,0.000388,9.024012822006663,7409.171563748046,72.9,20.05822,1.0,2.0,0.45372,0.110526
COMP,LONG,0.3972568594576857,3.972568594576857,0.0,2.3835,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,6863106.18539174,2.0,1.0,7.285330963758949e-08,0.000378,0.000495,0.00025056240738548035,3439.27281590787,1041.25,0.994482,0.0,0.0,0.0,0.0
