ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,entry_price,stop_price,target_1,rr_ratio
APA,LONG,0.43020823848134404,4.30208238481344,0.0,2.5812,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,420916371.6927418,6,1.0,99.0,1.9e-05,4.8e-05,7400.985074086971,0.006501566950010598,2.993042,1.02335,0,0,0.478479,0.001352,,,,,,,,,,
APP,LONG,0.4300199949671875,4.3001999496718755,0.0,2.5801,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,20.98970651288058,10,1.0,1.367451077353778,2e-06,4e-06,24979.898808719023,18267.489947105718,2.71083,0.574787,3,3,0.421043,0.462355,,,,,,,,,,
CVNA,LONG,0.42835746695448607,4.28357466954486,0.0,2.5701,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,22.59992238525191,4,0.7,1.0087168881730757,2.8e-05,2e-05,305354.4937625007,908147.2631499392,2.166217,0.965385,3,0,0.043103,0.0,,,,,,,,,,
TXN,LONG,0.4225922797335434,4.225922797335434,5.63,4.782,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.9,NEUTRAL,trend_continuation,,,230.0,200.0,7.12,6.86,105480.0,82935.0,0.786,67140.0,58013.0,63262.0,86.1,0.424,7865123.084041121,17,1.0,0.4135664635393453,7e-06,1e-06,1464.5564459533673,8499.082445435479,1.142752,0.119145,2,0,0.630742,0.0,2.18,0.12,0.96,1.4,0.89,0.08,,,,
MP,LONG,0.4163502187718378,4.163502187718378,0.0,2.4981,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,3428034.404032591,4,1.0,18.05771196768369,4.3e-05,0.0001,159664.26903785433,8841.888126446558,1.010475,0.386548,1,0,0.0,0.0,,,,,,,,,,
SQQQ,LONG,0.41556664285714284,4.155666428571428,0.0,2.4934,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,4.225291351759767,5,1.0,6.587096488172309,0.0,0.0,9954.181389417134,6044.654974944248,81.00438,0.146881,1,0,0.562933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ETSY,LONG,0.40969664365370684,4.096966436537068,6.27,4.9895,price_validation_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence, trend_aligned",confirmation_volume,5.3,NEUTRAL,support_ema_confluence,,,75.0,40.0,30.57,30.36,97570.0,81187.0,0.832,69279.0,43583.0,65895.0,74.5,0.636,3087051.796145125,5,1.0,99.0,7e-05,4.3e-05,1.1645480044199397e-15,8.482322935741517e-19,0.183712,0.3914,1,0,0.000685,0.000309,1.69,0.13,0.99,1.6,1.85,0.02,,,,
ADBE,LONG,0.4081210929872009,4.081210929872009,5.72,5.4566,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,8.5,NEGATIVE,retest_and_confirm,-6844752.07,243.41,400.0,220.0,64.33,9.62,328530.0,216335.0,0.658,151123.0,86014.0,307728.0,52.8,0.399,26.397727568462493,17,1.0,0.1126311919263881,1.7e-05,7e-06,1359.2308786515432,22124.628487963306,0.55861,0.178745,1,3,0.636112,0.160052,0.0,0.96,1.0,1.4,1.86,0.5,,,,
CAR,LONG,0.39737203691465783,3.9737203691465783,0.0,2.3842,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,3.5401866202509735,7,1.0,1.5626898121979536,2.6e-05,1.7e-05,69281.22228763458,110836.49126468226,0.119167,0.384308,2,1,0.695128,0.214799,0.0,0.0,0.0,0.0,0.0,0.0,,,,
IWM,LONG,0.39719675486574796,3.9719675486574797,0.0,2.3832,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,9.411335253880168,30,1.0,0.15125884619410312,1.5e-05,9.3e-05,37176.475060908,122890.25070706026,0.232944,0.357009,1,6,0.620733,0.666695,,,,,,,,,,
