ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
SNDK,LONG,0.35,3.5,0,2.1,error: No OHLCV data returned for ticker=SNDK,none,none,,,unknown,,,,,,,,,,,,,,,0.0,1.0,1.0,99.0,0.0,0.0,332170.6153802196,0.0,4.789474,,0.0,0.0,0.0,0.0
NVDA,LONG,0.33702632654950276,3.3702632654950277,0,2.0222,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,1.4597465467467672,12.0,1.0,0.6293197709813458,0.0,0.0,206863.8875451779,164355.14748138248,0.095628,0.09457,0.0,0.0,0.572789,0.715591
WULF,LONG,0.33491814374094536,3.3491814374094537,0,2.0095,error: No OHLCV data returned for ticker=WULF,none,none,,,unknown,,,,,,,,,,,,,,,28.7494829449697,4.0,1.0,4.199526366086401,0.0,0.0,86150.64591567431,61543.115869963694,0.318737,0.734467,1.0,0.0,0.021165,0.0
BABA,LONG,0.331378514994357,3.3137851499435698,0,1.9883,error: No OHLCV data returned for ticker=BABA,none,none,,,unknown,,,,,,,,,,,,,,,9.187868374210428,13.0,1.0,1.2857032142179339,0.0,0.0,23042.74063109237,15361.9593717438,0.27542,0.776672,1.0,1.0,0.241201,0.539396
EWY,LONG,0.330655269533093,3.3065526953309297,0,1.9839,error: No OHLCV data returned for ticker=EWY,none,none,,,unknown,,,,,,,,,,,,,,,1.2749000662069605,4.0,1.0,99.0,0.0,0.0,93722.04271038329,0.0,0.236612,,2.0,0.0,0.677258,0.0
NBIS,LONG,0.3256883541997719,3.256883541997719,0,1.9541,error: No OHLCV data returned for ticker=NBIS,none,none,,,unknown,,,,,,,,,,,,,,,1.7035353816243235,8.0,1.0,1.393277489209028,0.0,0.0,127387.51900679324,91430.11352254884,0.451364,0.297026,0.0,0.0,0.522963,0.473099
LITE,LONG,0.3227637010842779,3.2276370108427788,0,1.9366,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,26.90277089480269,10.0,1.0,0.06780549633310351,0.0,0.0,6526.237128719673,144374.07323129085,0.572372,5.339286,1.0,1.0,0.777933,0.231639
SMCI,LONG,0.31544161341666166,3.154416134166617,0,1.8926,error: No OHLCV data returned for ticker=SMCI,none,none,,,unknown,,,,,,,,,,,,,,,0.39977411598518675,3.0,1.0,99.0,0.0,0.0,78145.9786953754,0.0,1.485015,,2.0,0.0,0.457904,0.0
ADBE,LONG,0.3043570294726967,3.043570294726967,0,1.8261,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,134.91748158203455,11.0,0.7,7.471297522912589,0.0,0.0,27229.173519020485,3037.086645650177,0.511848,0.402998,1.0,2.0,0.244579,0.090595
XLK,LONG,0.3042281519926794,3.042281519926794,0,1.8254,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,262.0478245192771,11.0,1.0,0.14432661306956515,0.0,0.0,15999.45400553593,63346.218355542245,0.322683,1.623209,1.0,4.0,0.4421,0.184933
LUV,LONG,0.29660708032761496,2.96607080327615,0,1.7796,error: No OHLCV data returned for ticker=LUV,none,none,,,unknown,,,,,,,,,,,,,,,6.23521445802745,2.0,1.0,99.0,0.0,0.0,36612.34216798942,0.0,0.826493,,0.0,0.0,0.138213,0.0
TSEM,LONG,0.29274651333333335,2.9274651333333335,0,1.7565,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,19.45792217360575,4.0,1.0,0.1027858978032586,0.0,0.0,4590.579593239187,44661.57022849542,1.731778,1.668997,0.0,0.0,0.457091,0.473272
