ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,entry_price,stop_price,target_1,rr_ratio,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
PONY,LONG,0.4071940842008501,4.071940842008502,5.27,4.977,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,6.8,NEUTRAL,trend_continuation,,,15.0,10.0,27.33,15.11,92447.0,35793.0,0.387,102176.0,5635.0,20429.0,62.5,0.868,0.0,0.18,1.0,1.4,1.88,0.81,,,,,3519.098710391749,3,1.0,0.02796195401688031,6.9e-05,6e-06,4.86213086399666e-22,3.477676031554481e-20,0.716494,32.627119,1,1,0.020603,0.0
ASTS,SHORT,0.2906002214597998,2.906002214597998,5.46,4.091,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned,5.0,POSITIVE,retest_and_confirm,7374698.3,88.17,100.0,80.0,13.19,9.45,631101.0,306916.0,0.486,382764.0,138900.0,416353.0,56.7,1.034,0.0,0.89,0.68,1.4,1.57,0.93,,,,,21.457040347191676,5,1.0,0.028308640788656074,3e-06,1.2e-05,6143.341347919806,54253.23484960098,0.02069,0.192683,0,0,0.0,0.47427
QQQ,SHORT,0.27869709844373286,2.7869709844373287,1.55,3.5185,watchlist_reeval_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",8.3,NEGATIVE,unknown,-4530154.07,,650.0,600.0,0.13,7.57,4342827.0,6410394.0,1.476,5306970.0,2084075.0,3362176.0,54.9,0.196,0.0,0.0,1.0,0.0,0.01,0.54,,,,,1.8750666795486908,4,1.0,0.23484087630157627,1e-06,2e-06,221349.30942722416,314183.3921947123,0.035318,2.193649,0,0,0.0,0.30428
OGN,LONG,0.6586518837513776,6.586518837513776,7.26,6.4313,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,4.8,NEUTRAL,trend_continuation,,,10.0,5.0,6.27,46.87,96702.0,50002.0,0.517,57370.0,18289.0,71045.0,98.8,1.183,2.95,0.0,1.0,1.4,1.56,0.35,,,,,3582651611798256.0,6,1.0,99.0,0.000149,1.8e-05,1403.7639137530523,0.0028712635713409457,8.875528,162.220339,2,0,0.0,0.0
CIFR,LONG,0.6142026386576354,6.142026386576354,5.24,5.883,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,6.2,POSITIVE,trend_continuation,5660035.82,17.44,20.0,10.0,14.58,42.71,826068.0,446094.0,0.54,459041.0,177617.0,635504.0,47.7,1.099,1.78,0.39,0.0,1.4,0.92,0.74,,,,,54.9481889110717,6,1.0,99.0,0.000158,4e-06,73195.83064268464,2263.1165341179085,2.092595,0.978482,0,0,0.118969,0.0
BULL,LONG,0.45755855385871935,4.575585538587194,7.38,5.6418,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,5.7,POSITIVE,trend_continuation,4173478.01,6.53,10.0,5.0,53.26,23.37,902522.0,138023.0,0.153,299460.0,40726.0,700359.0,55.3,0.788,2.16,0.0,1.0,1.4,1.82,1.0,,,,,28.336512625059008,3,1.0,99.0,8.4e-05,0.0,3432.318638618957,0.0,0.531202,,0,0,0.476849,0.0
TLT,LONG,0.44356330567428526,4.435633056742852,5.11,4.3908,watchlist_reeval_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned,3.2,POSITIVE,ema_pullback,780721553.52,87.06,90.0,85.0,3.37,2.38,5054375.0,3032227.0,0.6,2668349.0,1205932.0,4212321.0,11.1,0.1,0.0,0.85,1.0,1.2,1.67,0.39,,,,,2.8754688050079054,4,1.0,1.9816039540242913,2e-05,1.2e-05,406564.6751580711,205169.49127620042,4.30939,0.070837,0,1,0.240546,0.168021
ROKU,LONG,0.3491094235551687,3.491094235551687,7.1,4.7155,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,4.2,NEUTRAL,trend_continuation,,,120.0,80.0,3.23,31.18,89804.0,75585.0,0.842,79930.0,24373.0,61086.0,77.7,0.693,1.89,0.0,1.0,1.4,1.93,0.88,,,,,33295108.007657755,4,1.0,0.009031427468920373,6e-06,3e-06,8.724395039262735,2898.0119928834433,1.693914,0.061785,2,0,0.493776,0.0
GOOGL,LONG,0.34832048068147325,3.4832048068147325,6.3,4.2916,watchlist_reeval_failed,"momentum_aligned, room_to_target, trend_aligned, trend_continuation","confirmation_volume, not_extended",3.3,POSITIVE,trend_continuation,778695774.62,336.94,350.0,250.0,3.88,25.8,1713201.0,1366192.0,0.797,1030313.0,483710.0,1565370.0,68.7,0.365,2.42,0.0,0.41,1.4,1.76,0.31,,,,,3.8341865557761077,14,1.0,1.1225235960129512,2e-06,0.0,31500.801779164347,37416.64690886481,0.142287,0.043434,2,2,0.749347,0.610973
DIA,LONG,0.3189176600381052,3.1891766003810518,7.32,4.8306,"wall_proximity (0.8%, 0.6 ATR)","confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.2,NEGATIVE,trend_continuation,-21685502.88,,500.0,420.0,0.82,15.31,193061.0,361552.0,1.873,145144.0,170117.0,239352.0,65.8,0.147,1.9,0.06,1.0,1.4,1.96,1.0,,,,,2.909232923956273,2,1.0,2.909232923956273,0.0,0.0,629.6045916118093,216.4160134540236,2.672515,4.0,1,1,0.0,0.0
