ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
NN,SHORT,0.4943275594867615,4.943275594867615,0.0,2.966,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,6081317.4354326585,8.0,1.0,1.7559078413746673e-05,0.011444,0.005491,0.159707443656413,9095.434275831985,0.09116,0.151284,3.0,0.0,0.014576,0.044802
CVX,SHORT,0.490187370902104,4.90187370902104,0.0,2.9411,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,20791.8586207857,17.0,1.0,0.051163119660560405,0.00025,0.000433,1578.5237482240166,21596.93605643414,0.55078,0.333009,2.0,2.0,0.238615,0.520453
DOCU,SHORT,0.48673373155259847,4.867337315525985,5.76,5.6617,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, trend_aligned","confirmation_volume, room_to_target",7.5,NEUTRAL,retest_and_confirm,,,110.0,30.0,136.6,35.47,53700.0,54531.0,1.015,22293.0,29365.0,56573.0,1.69,0.8,0.02,1.4,1.58,0.26,18472588.40689997,2.0,1.0,0.0,0.0,0.000444,0.0,25445.66962230948,,106.187192,0.0,0.0,0.0,0.0
SQQQ,SHORT,0.48,4.8,0.0,2.88,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,157528.39951739792,3.0,1.0,2.3784094724915393e-05,7e-05,5.5e-05,2.8522391464121086,239844.2471240414,5.231884,3.344828,1.0,0.0,0.266908,0.0
MSFT,SHORT,0.4731392337377294,4.731392337377295,0.0,2.8388,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,2.316223275026893,18.0,1.0,0.8422490555828018,9.2e-05,0.000108,95929.57404552925,113896.92088066506,0.601229,0.590149,4.0,4.0,0.735296,0.527862
LRCX,SHORT,0.45699593997330074,4.5699593997330075,0.0,2.742,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,26.159275279919143,12.0,1.0,0.10435223272332668,0.000364,0.000363,4647.689894915897,44538.48062109516,0.137301,0.830124,2.0,1.0,0.482415,0.440237
CAT,SHORT,0.4505079070120949,4.505079070120949,0.0,2.703,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.82,0.0,0.0,0.0,0.0,162.82321981815457,5.0,1.0,0.49854706746505056,4.7e-05,0.000296,0.4348730335027065,0.5815205315369644,0.594907,23.630127,1.0,1.0,0.001488,0.500563
SE,SHORT,0.42378661713844495,4.237866171384449,0.0,2.5427,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.6699415383362551,6.0,0.7,0.5229090023574464,0.000245,0.000462,0.007009084899874617,0.0026808048315386996,50.538462,176.123077,0.0,3.0,0.0,0.738365
DOCN,SHORT,0.42349930995535146,4.234993099553515,0.0,2.541,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,3.3026537635686246,4.0,1.0,0.885107118752778,0.00047,0.00045,0.003679092690329425,0.004156663766882484,2.636856,3.796634,0.0,0.0,0.433402,0.129099
JD,SHORT,0.4166257652848949,4.166257652848949,6.35,5.1881,price_validation_failed,"ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,6.0,POSITIVE,ema_rally,2836013.69,27.45,30.0,25.0,9.31,8.91,648264.0,463965.0,0.716,217315.0,325638.0,569276.0,1.62,0.88,1.0,1.2,1.59,0.05,782476.7239674397,7.0,1.0,0.08620751332560114,0.000169,0.001357,3538.601183876763,6841.246675935806,0.220312,0.313287,0.0,0.0,0.0,0.154913
