ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,entry_price,stop_price,target_1,rr_ratio
SPXS,LONG,0.67,6.7,1.24,5.162,watchlist_reeval_failed,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned",7.2,NEUTRAL,unknown,,,40.0,20.0,23.95,38.02,57286.0,32244.0,0.563,56994.0,3096.0,29440.0,57.5,0.464,0.0,0.0,0.87,0.0,0.07,0.3,523505786.7074052,7,1.0,1.3684380541207428e-05,0.001377,0.000481,0.01835191835939268,1788.1134192013067,8.397471,2.641939,4,3,8.2e-05,0.0,,,,
XPEV,LONG,0.6557372525862608,6.557372525862608,5.86,6.2167,watchlist_reeval_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned,5.9,POSITIVE,flag_breakout,3494697.33,18.05,20.0,17.0,10.83,5.79,321018.0,151365.0,0.472,131513.0,90624.0,250246.0,35.6,0.556,0.0,0.81,1.0,1.6,1.9,0.55,3532843.1840826073,9,1.0,42.183876448609034,8.9e-05,3.9e-05,21641.567980907937,1795.6028300399453,4.294693,8.88567,1,0,0.080493,0.0,,,,
FSLY,LONG,0.6476308579563542,6.4763085795635424,6.8,6.0382,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",none,3.8,POSITIVE,retest_and_confirm,1214079.37,25.09,30.0,17.5,19.67,30.19,157202.0,126342.0,0.804,154937.0,31990.0,96617.0,98.3,1.28,2.11,0.81,1.0,1.4,0.92,0.56,24.699359042531817,15,1.0,0.5041760575403269,0.000401,0.000251,10047.887940164776,29893.98581078323,1.675367,1.271753,1,2,0.354231,0.603145,,,,
BE,LONG,0.621294192392622,6.21294192392622,5.95,6.0515,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,5.8,POSITIVE,trend_continuation,12387229.33,210.3,260.0,80.0,23.52,61.99,375184.0,360024.0,0.96,296062.0,183446.0,255700.0,49.5,1.136,2.21,0.0,0.27,1.4,1.45,0.62,2.1805666416268803,9,1.0,0.5166866689911795,8.5e-05,1.9e-05,64880.187985170895,251139.39212655972,21.174724,1.093615,1,2,0.437381,0.052604,,,,
EOSE,LONG,0.6065024774279698,6.065024774279698,5.46,5.4905,watchlist_reeval_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned,4.1,POSITIVE,trend_continuation,2715652.74,,10.0,5.5,38.99,23.56,1082069.0,394214.0,0.364,354367.0,8780.0,1113136.0,95.6,1.341,0.0,0.4,1.0,1.4,1.67,0.99,314.915764851779,5,1.0,99.0,0.000231,2.3e-05,18407.517635496235,0.06742628102715427,2.269779,0.14862,0,0,0.118891,0.0,,,,
NU,LONG,0.5243061154191339,5.243061154191339,6.06,5.2195,watchlist_reeval_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,3.9,POSITIVE,ema_pullback,7624565.65,15.38,17.0,13.0,10.57,15.45,804770.0,464278.0,0.577,380538.0,167812.0,720698.0,98.5,0.508,1.74,0.4,1.0,1.2,1.61,0.11,49.21290087239308,16,1.0,2.3790437100301043,1.9e-05,9e-06,4396.043200946462,3079.699056118389,1.779884,1.080208,3,0,0.819045,0.495591,,,,
SYF,LONG,0.5184372457895943,5.184372457895943,5.38,5.4262,watchlist_reeval_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",6.1,NEUTRAL,trend_continuation,,,80.0,60.0,5.96,20.53,23719.0,39487.0,1.665,28774.0,16535.0,17897.0,61.9,0.368,2.27,0.0,0.0,1.4,1.51,0.2,1.4734040833023579e+23,9,1.0,99.0,3.9e-05,8e-06,15530.503567729043,0.03892014726152703,333.625821,0.213994,0,0,0.350649,0.0,,,,
APLD,LONG,0.5167334025961635,5.167334025961635,6.06,5.4817,watchlist_reeval_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",none,5.4,POSITIVE,ema_pullback,8502706.95,30.16,40.0,25.0,33.11,16.81,565431.0,246230.0,0.435,325746.0,113685.0,372230.0,24.4,1.014,1.62,0.47,1.0,1.2,1.41,0.35,0.6873510489224542,8,1.0,3.8063881708435976,0.000165,4.9e-05,625313.821293375,54760.03262823549,0.41756,0.491956,0,2,0.430608,0.461615,,,,
EL,LONG,0.5040055879179972,5.040055879179972,4.25,4.335,watchlist_reeval_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",2.7,NEUTRAL,trend_continuation,,,75.0,65.0,0.48,12.92,107907.0,98929.0,0.917,82889.0,59535.0,118669.0,77.0,0.156,0.0,0.76,1.0,1.4,1.09,0.0,1552430012.4267948,7,1.0,65.12930518702616,4.6e-05,2.6e-05,8760.480782103075,100.88178536082604,5.475464,0.795006,1,0,0.069711,0.286679,,,,
PSKY,LONG,0.4433333333333333,4.433333333333333,6.02,4.8627,watchlist_reeval_failed,"momentum_aligned, room_to_target, trend_aligned, trend_continuation","confirmation_volume, not_extended",4.2,POSITIVE,trend_continuation,1759847.19,11.7,17.0,10.0,45.49,14.42,534220.0,509319.0,0.953,161045.0,63420.0,819074.0,77.3,0.611,1.94,0.0,1.0,1.4,1.69,0.0,15.031472901930604,2,1.0,99.0,0.000228,0.0,0.027541932074440303,0.0,0.105648,,0,0,0.062377,0.0,,,,
