ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bearish_vol_oi
CIEN,LONG,0.6669416041136974,6.669416041136974,0.0,4.0016,watchlist_reeval_failed,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4565439.045355736,4.0,1.0,99.0,0.0011,0.0,181853.52194803936,0.0,4.15161,1.0,0.0,4e-06,0.0,
VST,LONG,0.6175344427579965,6.175344427579965,0.0,3.7052,watchlist_reeval_failed,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.43,0.0,0.0,0.0,0.0,1150942.628930925,8.0,1.0,99.0,0.001034,0.000132,34335.94375600772,0.08955792913802262,2.476883,0.0,1.0,0.472882,0.0,0.646526
IONQ,LONG,0.39271022289685464,3.9271022289685464,0.0,2.3563,watchlist_reeval_failed,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.78,0.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.002328,0.0,17.70017113370471,0.0,6.343434,0.0,0.0,0.0,0.0,
SMR,LONG,0.34554852195474717,3.4554852195474717,0.0,2.0733,watchlist_reeval_failed,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.39,0.0,0.0,0.0,0.0,2.6285310182699626,2.0,1.0,99.0,0.000677,0.0,0.06980952891008381,0.0,1.350179,0.0,0.0,0.275594,0.0,
SCHW,LONG,0.3304332861537683,3.3043328615376835,0.0,1.9826,watchlist_reeval_failed,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.72,0.0,0.0,0.0,0.0,6606.124553965916,4.0,1.0,2.714176722997267,0.000315,0.0001,36431.04402955113,13422.502566200003,0.378147,0.0,2.0,2e-06,0.000558,9.371463
CRK,LONG,0.32747814948069703,3.2747814948069704,5.23,4.8064,watchlist_reeval_failed,"momentum_aligned, not_extended, support_ema_confluence, trend_aligned","confirmation_volume, room_to_target",8.0,NEUTRAL,support_ema_confluence,,,25.0,8.0,16.5,62.72,53666.0,22177.0,0.413,6895.0,32283.0,36665.0,1.56,0.7,0.0,1.6,1.11,0.25,15.807369130724153,2.0,1.0,0.12652326794296717,0.001243,0.000621,0.04146268687543846,0.32770799829584374,0.507968,0.0,0.0,0.0,0.0,0.190824
ASST,LONG,0.3236934540712321,3.2369345407123213,0.0,1.9422,watchlist_reeval_failed,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.000893,0.0,0.0015176455647148883,0.0,8.87037,0.0,0.0,0.0,0.0,
MU,SHORT,0.3793774390216253,3.793774390216253,0.0,2.2763,watchlist_reeval_failed,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.58,0.0,0.0,0.0,0.0,10.79142782411303,5.0,1.0,0.10034342937397588,3e-06,2.9e-05,40394.53901858123,100640.71775948684,0.060386,1.0,0.0,0.0,0.62226,0.16902
CRWV,SHORT,0.330086973349241,3.3008697334924095,4.96,4.9384,watchlist_reeval_failed,"ema_rally, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",9.0,NEGATIVE,ema_rally,-17770086.94,,150.0,70.0,79.63,16.17,827980.0,859787.0,1.038,527245.0,592048.0,568474.0,1.51,0.94,0.63,1.2,0.47,0.21,0.7842515654323821,2.0,1.0,0.39212578271619103,2.3e-05,8.7e-05,44079.91402401183,112412.68992484373,2.216216,0.0,0.0,0.0,0.0,2.492188
JLL,SHORT,0.31976117131085124,3.1976117131085124,6.33,5.0578,watchlist_reeval_failed,"ema_rally, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,7.8,NEUTRAL,ema_rally,,,330.0,280.0,10.87,5.93,576.0,1684.0,2.924,101.0,1505.0,654.0,2.09,0.75,1.0,1.2,1.27,0.02,0.0,1.0,1.0,0.0,0.0,0.000212,0.0,30059.11043310786,,0.0,1.0,0.0,0.0,8.25
