ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_pattern_vol,price_pattern_candle,price_momentum,price_confirm_vol
MU,LONG,0.3294213229704275,3.2942132297042748,0.0,1.9765,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
MRVL,LONG,0.32096921130424405,3.2096921130424407,0.0,1.9258,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
FCX,LONG,0.307267476554338,3.07267476554338,0.0,1.8436,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRM,LONG,0.30725518412279607,3.072551841227961,0.0,1.8435,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
TEM,LONG,0.30476455385811085,3.0476455385811088,0.0,1.8286,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
OPEN,LONG,0.2969485746149083,2.969485746149083,0.0,1.7817,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0
DVA,LONG,0.29002676202406846,2.9002676202406845,5.58,4.0641,price_validation_failed,"not_extended, pattern_volume, support_ema_confluence, trend_aligned","bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, pullback_to_support, room_to_target, structural_breakout, trend_continuation",4.7,NEUTRAL,unknown,,,160.0,110.0,7.16,26.33,15242.0,21495.0,1.41,2978.0,16.0,15361.0,1.79,0.96,0.09,1.6,0.34,0.0,0.49,0.3
DAL,LONG,0.2892160807095798,2.8921608070957983,0.0,1.7353,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
GS,LONG,0.2856766190476191,2.8567661904761907,0.0,1.7141,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
SBUX,LONG,0.27597803780572894,2.7597803780572896,0.0,1.6559,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
VRT,LONG,0.27289311326920695,2.7289311326920695,0.0,1.6374,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
GOOG,LONG,0.2683724198669805,2.6837241986698053,0.0,1.6102,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
META,LONG,0.26690846626959325,2.6690846626959326,0.0,1.6015,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLTR,LONG,0.2663794285714286,2.6637942857142862,0.0,1.5983,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
ZS,LONG,0.26197399022214574,2.6197399022214576,0.0,1.5718,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
SCHW,LONG,0.2609401552051197,2.609401552051197,0.0,1.5656,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
CEG,LONG,0.2600393886833568,2.600393886833568,0.0,1.5602,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
EBAY,LONG,0.25437115482271067,2.5437115482271064,4.49,3.2989,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, pattern_volume, room_to_target","bounce_and_fail, flag_breakout, momentum_aligned, pullback_to_support, structural_breakout, trend_aligned, trend_continuation",3.4,NEUTRAL,unknown,,,90.0,80.0,1.15,10.09,78887.0,77005.0,0.976,23542.0,18869.0,41570.0,0.0,0.79,0.95,1.2,0.37,0.0,0.17,1.0
CDE,LONG,0.2502364866460742,2.502364866460742,0.0,1.5014,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEM,LONG,0.24518294000000002,2.4518294000000003,0.0,1.4711,weak_bullish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakout, momentum_aligned, not_extended, pattern_volume, pullback_to_support, room_to_target, structural_breakout, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
CVI,SHORT,0.6183333333333334,6.183333333333334,0.0,3.71,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pattern_volume, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RVMD,SHORT,0.6066155877825912,6.066155877825912,0.0,3.6397,weak_bearish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pattern_volume, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
PL,SHORT,0.5537438874469706,5.537438874469705,0.0,3.3225,trend_not_aligned,none,"bounce_and_fail, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pattern_volume, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRM,SHORT,0.5469110290850058,5.4691102908500575,0.0,3.2815,weak_bearish_flow,none,"bounce_and_fail, confirmation_volume, flag_breakdown, momentum_aligned, not_extended, pattern_volume, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned, trend_continuation",,,unknown,,,,,,,,,,,,,,,,,,,,
LYV,SHORT,0.5403184565682556,5.403184565682556,5.18,5.6156,price_validation_failed,"confirmation_volume, flag_breakdown, momentum_aligned, not_extended, room_to_target","bounce_and_fail, pattern_volume, pullback_to_resistance, structural_breakdown, trend_aligned, trend_continuation",6.8,NEUTRAL,flag_breakdown,,,180.0,120.0,20.93,19.38,76306.0,84698.0,1.11,22345.0,17116.0,93789.0,0.0,0.31,0.64,1.6,0.0,0.49,1.42,0.72
