ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
DDOG,36.68354966406113,99.29055491842443,3,2,137.72303034846632,5,48.4,0.583515,0.758819,0.320559,5,0,0,0.0,0.0,19.292002603051422,74.38680427252238,3,2,0.0,-62.6070052543633,SHORT,12.227849888020378,49.64527745921222,0.525903,0.749183,0.36945658823439714,1.0,675789025.7369217,0.0,0.0,0.20805668206503772,0.2210129415899134
DE,0.573191622708878,0.31015663692684536,1,1,1.7666965192714468,2,93.5,0.32627,0.386555,0.265985,2,0,1,0.0,0.31015663692684536,0.573191622708878,0.31015663692684536,1,1,0.0,0.26303498578203266,LONG,0.573191622708878,0.31015663692684536,1.0,1.0,1.8480714402512464,0.7,833202882.312671,0.0,0.0,0.13246298642100593,0.13786010046060804
DELL,0.0,18312.54244253289,0,1,36625.08488506578,1,90.0,1.70625,,1.70625,1,0,0,0.0,0.0,0.0,18312.54244253289,0,1,0.0,-18312.54244253289,SHORT,0.0,18312.54244253289,0.0,1.0,0.0,1.0,1603648764.3394914,0.0,1.1e-05,0.115,0.3130529856850794
DOCU,0.0,21.647666379752447,0,1,21.647666379752447,1,30.0,1.374384,,1.374384,1,0,0,0.0,0.0,0.0,21.647666379752447,0,1,0.0,-21.647666379752447,SHORT,0.0,21.647666379752447,0.0,1.0,0.0,1.0,278341701.62975025,0.0,0.0,0.115,0.21538220593375912
DVA,0.09603235797358829,0.0,1,0,0.19206471594717658,1,32.0,8.560976,8.560976,,1,0,0,0.0,0.0,0.09603235797358829,0.0,1,0,0.0,0.09603235797358829,LONG,0.09603235797358829,0.0,1.0,0.0,99.0,1.0,132496773.57701111,0.0,0.0,0.1802957192874309,0.115
EBAY,8099.950653533171,0.0,2,0,8099.950653533171,2,60.0,0.26715,0.26715,,2,0,0,0.0,0.0,8071.548049055298,0.0,2,0,0.0,8099.950653533171,LONG,4049.9753267665856,0.0,0.996493,0.0,99.0,1.0,470505752.30969125,1.7e-05,0.0,0.3018709794181911,0.115
EXE,66.78306441738219,0.0,1,0,133.56612883476438,1,30.0,0.559334,0.559334,,1,0,0,0.0,0.0,66.78306441738219,0.0,1,0,0.0,66.78306441738219,LONG,66.78306441738219,0.0,1.0,0.0,99.0,1.0,430027509.40717125,0.0,0.0,0.2270506807804592,0.115
FCX,2988.733255688522,4923.3546077323745,5,4,10906.234048608532,9,74.444444,0.138149,0.128169,0.150624,9,2,0,10.945612421974777,0.0,2915.3253619899415,4890.520946901803,5,4,0.0,-1934.6213520438523,SHORT,597.7466511377045,1230.8386519330936,0.975438,0.993331,0.6070522019670423,1.0,1011453069.5733621,3e-06,5e-06,0.34208353122950647,0.2954192064095188
FDX,0.0,16473.094208678063,0,1,16473.094208678063,1,90.0,5.41573,,5.41573,1,0,0,0.0,0.0,0.0,16473.094208678063,0,1,0.0,-16473.094208678063,SHORT,0.0,16473.094208678063,0.0,1.0,0.0,1.0,744705197.6463501,0.0,2.2e-05,0.115,0.321779519514739
FOUR,1.1025140911469749,0.0,1,0,1.1025140911469749,1,93.0,1.495183,1.495183,,1,0,0,0.0,0.0,1.1025140911469749,0.0,1,0,0.0,1.1025140911469749,LONG,1.1025140911469749,0.0,1.0,0.0,99.0,0.7,123518942.80593796,0.0,0.0,0.13618212363817628,0.065
FSLR,0.0,24.32980338807048,0,1,48.65960677614096,1,92.0,0.183849,,0.183849,1,0,0,0.0,0.0,0.0,24.32980338807048,0,1,0.0,-24.32980338807048,SHORT,0.0,24.32980338807048,0.0,1.0,0.0,0.7,479420666.84467167,0.0,0.0,0.065,0.1662330550574203
GDX,0.0,140403.17970219097,0,2,154575.65418138893,2,73.0,0.507416,,0.507416,2,0,1,0.0,14172.47447919795,0.0,126230.70522299303,0,2,0.0,-140403.17970219097,SHORT,0.0,70201.58985109549,0.0,0.899059,0.0,1.0,2279809350.173809,0.0,6.2e-05,0.115,0.38212507517592326
GDXJ,0.0,440.5873547807631,0,1,440.5873547807631,1,57.0,1.910714,,1.910714,1,0,0,0.0,0.0,0.0,440.5873547807631,0,1,0.0,-440.5873547807631,SHORT,0.0,440.5873547807631,0.0,1.0,0.0,1.0,615032882.8437424,0.0,1e-06,0.115,0.2560531170424425
GLNG,45278.94461683357,39077.75662550902,4,8,123434.45786785161,12,87.166667,7.421904,20.516249,0.874732,12,1,4,16122.88716151027,22715.827333275116,16122.88716151027,6743.707500739383,4,8,0.0,6201.18799132455,LONG,11319.736154208393,4884.719578188628,0.356079,0.172572,1.1586884336977668,1.0,156350828.99401626,0.00029,0.00025,0.566587298404388,0.5308178660694239
GLXY,12139.129999569794,5786.816373676294,3,2,23262.94541371054,5,90.4,0.573542,0.594733,0.541756,5,0,0,0.0,0.0,5940.498776212917,5336.9990404644495,3,2,0.0,6352.3136258935,LONG,4046.3766665232647,2893.408186838147,0.489368,0.922269,2.0977216513711414,0.7,108280552.2076623,0.000112,5.3e-05,0.3204853400812348,0.27298133508700323
GOOG,389.0768051515248,81412.5838317472,4,7,118417.12104528405,11,70.818182,0.236313,0.308006,0.195345,11,1,1,11.294489991032368,40830.96293418526,344.43351126561856,40830.96293418526,4,7,0.0,-81023.50702659567,SHORT,97.2692012878812,11630.369118821027,0.885258,0.501531,0.004779074521889853,1.0,5730693793.067783,0.0,1.4e-05,0.2816447362696168,0.34258550661002996
GPRE,46.14187791802196,1.7773758743597716,2,1,49.6966296667415,3,30.666667,81.911476,54.567214,136.6,3,0,1,0.0,1.7773758743597716,24.305411327926723,1.7773758743597716,2,1,0.0,44.36450204366219,LONG,23.07093895901098,1.7773758743597716,0.526754,1.0,25.960675276208935,1.0,23663661.675,2e-06,0.0,0.21880239886757438,0.27150837662537436
GS,9865.264461295852,18783.519532612176,5,3,38514.048455203876,8,63.5,0.29626,0.302573,0.285739,8,2,2,4379.668502286426,160.7785118457985,5102.252913529946,18622.741020766378,5,3,0.0,-8918.255071316324,SHORT,1973.0528922591704,6261.173177537392,0.517194,0.99144,0.5252085182528046,1.0,2116556846.8655272,5e-06,9e-06,0.33506147505972517,0.3342791490555445
HD,4154.868456264697,6252.457556833073,6,3,19913.25362725657,9,67.222222,2.122374,1.805253,2.756615,9,1,0,0.03623338868280464,0.0,3543.6808065200617,3008.454617877652,6,3,0.0,-2097.589100568376,SHORT,692.4780760441162,2084.152518944358,0.852898,0.481164,0.6645176586163306,1.0,1392923174.025,3e-06,4e-06,0.3301280904068077,0.26950286672432466
HIMS,0.0,8947.619393426663,0,1,8947.619393426663,1,119.0,0.633262,,0.633262,1,0,0,0.0,0.0,0.0,8947.619393426663,0,1,0.0,-8947.619393426663,SHORT,0.0,8947.619393426663,0.0,1.0,0.0,0.7,1103238451.7217174,0.0,8e-06,0.065,0.2506970654111048
HOOD,1.4394647910994003,10478.148531769035,1,4,10480.688597360675,5,49.6,0.357802,0.957845,0.207791,5,0,0,0.0,0.0,1.4394647910994003,10274.303652079803,1,4,0.0,-10476.709066977935,SHORT,1.4394647910994003,2619.5371329422587,1.0,0.980546,0.00013737778069618318,1.0,1916649833.3274515,0.0,5e-06,0.18780281938562393,0.30488528188551234
HPQ,0.0,0.2605875716588059,0,1,0.2605875716588059,1,32.0,0.999305,,0.999305,1,0,0,0.0,0.0,0.0,0.2605875716588059,0,1,0.0,-0.2605875716588059,SHORT,0.0,0.2605875716588059,0.0,1.0,0.0,1.0,358721314.5704355,0.0,0.0,0.115,0.17663024817489564
INTC,18867.657420286843,14591.430188547978,2,1,43160.51509602767,3,90.0,0.133618,0.089713,0.221429,3,0,0,0.0,0.0,9701.427487192854,14591.430188547978,2,1,0.0,4276.227231738865,LONG,9433.828710143422,14591.430188547978,0.514183,1.0,1.2930642970896056,1.0,3691174030.0204453,5e-06,4e-06,0.27737198952413855,0.3040422994084596
IONQ,8513.995711124719,0.0,4,0,8514.54930150916,4,44.25,1.811179,1.811179,,4,0,0,0.0,0.0,8423.043245553226,0.0,4,0,0.0,8513.995711124719,LONG,2128.4989277811796,0.0,0.989317,0.0,99.0,1.0,738677694.4230238,1.2e-05,0.0,0.3139887945954951,0.115
ISRG,19247.239725468466,42611.8644645839,2,2,104490.91623040095,4,60.25,0.47408,0.517272,0.430888,4,0,1,0.0,42611.07174603662,19227.292149703786,42611.07174603662,2,2,0.0,-23364.624739115436,SHORT,9623.619862734233,21305.93223229195,0.998964,0.999981,0.45168734030554963,1.0,799620224.222676,2.4e-05,5.3e-05,0.3183364805515067,0.3645599984912654
IWM,0.0,33401.084097872976,0,1,33401.084097872976,1,56.0,0.517895,,0.517895,1,0,1,0.0,33401.084097872976,0.0,33401.084097872976,0,1,0.0,-33401.084097872976,SHORT,0.0,33401.084097872976,0.0,1.0,0.0,1.0,12309687908.195473,0.0,3e-06,0.115,0.32562582129798245
JBL,32.39247275561887,0.0,1,0,32.39247275561887,1,93.0,5.097015,5.097015,,1,0,0,0.0,0.0,32.39247275561887,0.0,1,0,0.0,32.39247275561887,LONG,32.39247275561887,0.0,1.0,0.0,99.0,0.7,352227743.53148806,0.0,0.0,0.1698422540172949,0.065
KRE,318918.5680443043,1305.0753581016968,1,2,320449.69340248185,3,63.333333,1.443071,0.988091,1.670561,3,0,0,0.0,0.0,318918.5680443043,1079.0253580258957,1,2,0.0,317613.49268620263,LONG,318918.5680443043,652.5376790508484,1.0,0.826792,99.0,1.0,1535442951.4671748,0.000208,1e-06,0.5065654594959741,0.2604949600383082
KWEB,0.0,14171.693975430611,0,3,28343.387950861223,3,67.333333,0.424891,,0.424891,3,0,1,0.0,4600.419853984928,0.0,4807.046395507407,0,3,0.0,-14171.693975430611,SHORT,0.0,4723.897991810204,0.0,0.339201,0.0,1.0,748921199.5003653,0.0,1.9e-05,0.115,0.29426838327151533
LASR,0.13164885658204248,0.0,1,0,0.26329771316408496,1,32.0,2.402299,2.402299,,1,0,0,0.0,0.0,0.13164885658204248,0.0,1,0,0.0,0.13164885658204248,LONG,0.13164885658204248,0.0,1.0,0.0,99.0,1.0,162666966.24427795,0.0,0.0,0.1790841327107765,0.115
LEN,0.0,3066.918941308825,0,1,6133.83788261765,1,90.0,2.151899,,2.151899,1,0,0,0.0,0.0,0.0,3066.918941308825,0,1,0.0,-3066.918941308825,SHORT,0.0,3066.918941308825,0.0,1.0,0.0,1.0,280694908.6076088,0.0,1.1e-05,0.115,0.2894492608545165
LNG,7170.870693445747,0.0,1,0,14341.741386891494,1,42.0,108.0,108.0,,1,0,0,0.0,0.0,7170.870693445747,0.0,1,0,0.0,7170.870693445747,LONG,7170.870693445747,0.0,1.0,0.0,99.0,1.0,1095650040.2462404,7e-06,0.0,0.31600222270729644,0.115
LVS,0.10348421502265837,10172.45547320927,1,3,10172.558957424291,4,68.0,1.350214,0.179024,1.740611,4,0,2,0.0,9640.916206918597,0.10348421502265837,9639.891926874669,1,3,0.0,-10172.351988994247,SHORT,0.10348421502265837,3390.8184910697564,1.0,0.947647,1.0172982845213725e-05,1.0,227699825.02333716,0.0,4.5e-05,0.17821179085510774,0.3513191523315617
LYV,26038.986058934555,32784.18790608957,2,7,91607.36187111371,9,87.111111,5.128924,0.328579,6.500451,9,1,3,11740.424364927705,21090.54102182862,14298.561694006852,7281.601261727485,2,7,0.0,-6745.201847155018,SHORT,13019.493029467278,4683.455415155653,0.549121,0.222107,0.7942544172063474,1.0,496934926.70155334,5.2e-05,6.6e-05,0.3435105265197477,0.3805653100852882
META,123641.57892214059,73704.4300966635,7,4,258580.8239891553,11,82.545455,0.240247,0.295927,0.142808,11,1,1,11364.993147471774,20480.169040908284,31860.25429916594,35132.27637637303,7,4,0.0,49937.14882547708,LONG,17663.08270316294,18426.107524165876,0.257682,0.476664,1.6775325276918147,1.0,7390575412.021637,1.7e-05,1e-05,0.3623679612609018,0.32049589405842116
MOS,0.0,4931.3519863252895,0,1,9862.703972650579,1,90.0,0.779105,,0.779105,1,0,0,0.0,0.0,0.0,4931.3519863252895,0,1,0.0,-4931.3519863252895,SHORT,0.0,4931.3519863252895,0.0,1.0,0.0,1.0,281456782.1770552,0.0,1.8e-05,0.115,0.30022232756973577
MRVL,230.95066200874362,27038.37117875762,5,9,27358.432837809927,14,67.428571,0.232834,0.176902,0.263908,14,0,2,0.0,73.93026780604532,159.11397455099873,26494.409386136907,5,9,0.0,-26807.420516748876,SHORT,46.19013240174873,3004.2634643064025,0.688952,0.979882,0.008541589302176135,1.0,1927089128.4081802,0.0,1.4e-05,0.25511322781138146,0.37558961571069155
