ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score
CVS,13.720869019840652,2.2693413951045226e-05,11,8,13.720891713254606,19,53.157895,5.816485,9.637248,0.562937,19,1,0,7.742764119344394e-32,0.0,13.720868921378987,2.2474176172206433e-05,11,8,2.614685319940495e+17,1817169.0,647186.5,13.7208463264267,LONG,1.2473517290764229,2.8366767438806533e-06,0.0,0.009661,99.0,1.0,97693087528.0,1.9e-05,7e-06,1.2768065383529995e-07,2.903661677258002e-13,0.5225130754191338,0.29822657020973387
DAN,0.0,5.870104926622345e-30,0,1,1.174020985324469e-29,1,90.0,1.0,,1.0,1,0,0,0.0,0.0,0.0,5.870104926622345e-30,0,1,0.0,0.0,30375.0,-5.870104926622345e-30,SHORT,0.0,5.870104926622345e-30,0.0,0.0,0.0,1.0,3837268605.0,0.0,8e-06,0.0,1.5297612783669975e-35,0.05,0.10452101115210086
DAVE,198347.9683196963,3671.879406187911,14,6,202019.84772589323,20,36.4,7.591622,2.769648,15.628246,20,2,1,2.194798368389319e-06,2.8221716471600227e-09,198347.96825245253,2074.190880640222,14,6,411143859552.0994,2664680.0,1310990.0,194676.08891350837,LONG,14167.712022835449,611.9799010313185,0.0,0.435115,54.01810527476394,1.0,2852592952.0,0.000934,0.00046,0.04966608366925338,0.002145346045962321,0.7274661430658649,0.6831034523809524
DOW,1834.4799214361437,2352.4176541274214,1,2,8373.795151127131,3,62.0,1.031959,2.77193,0.161973,3,0,0,0.0,0.0,1834.4799214361437,1798.5543952958967,1,2,0.0,27775.0,410757.5,-517.9377326912777,SHORT,1834.4799214361437,1176.2088270637107,0.0,0.235444,0.7798274758810227,1.0,28643960154.0,1e-06,1.4e-05,0.0006404421426273932,0.00041063066026485114,0.18631579999999998,0.11731355825152553
EEM,97565.55933167024,0.0,1,0,195131.1186633405,1,91.0,0.728402,0.728402,,1,0,0,0.0,0.0,97565.55933167024,0.0,1,0,0.0,98319.0,0.0,97565.55933167024,LONG,97565.55933167024,0.0,0.0,0.0,99.0,0.7,27692893105.0,4e-06,0.0,0.035231262750967184,0.0,0.06408709941043532,0.02857142857142857
ELV,111464.33051739944,0.0,3,0,222928.6610347989,3,67.666667,62.36478,62.36478,,3,1,0,111464.33051739944,0.0,111464.33051739944,0.0,3,0,1.8272074617762975e+34,240165.0,0.0,111464.33051739944,LONG,37154.77683913315,0.0,0.0,0.0,99.0,1.0,69702947932.0,3e-06,0.0,0.005330445546633146,0.0,0.37646506409320435,0.18
FDX,162.09338013477665,1.3400303410997547e-13,4,3,324.1862418768047,7,78.571429,1.20566,0.377017,2.310517,7,1,0,162.09286170649577,0.0,162.09286170649577,9.054644600598637e-14,4,3,1832999039747648.2,198075.5,239875.0,162.0933801347765,LONG,40.52334503369416,4.466767803665849e-14,3e-06,0.324296,99.0,1.0,90880541225.0,2e-06,3e-06,4.458968277198898e-06,4.914988118971613e-21,0.23610521877671134,0.33849409365039035
GDXJ,0.0,32006.85308366397,0,2,64013.70616731688,2,37.0,0.61465,,0.61465,2,0,1,0.0,32006.853083652906,0.0,32006.853083652906,0,2,5785642326865.659,0.0,182021.0,-32006.85308366397,SHORT,0.0,16003.426541831985,0.0,0.0,0.0,1.0,68.6819,0.0,0.0,0.0,0.0,0.18,0.21271233333333334
GEV,4301.075014669736,2451.3496698263016,5,3,9820.957354962697,8,46.75,0.903848,0.919405,0.877918,8,1,0,17.26599621066735,0.0,2877.142190991744,1395.4281023352735,5,3,8.132367709651383,408759.0,961099.0,1849.7253448434349,LONG,860.2150029339473,817.1165566087672,0.331064,0.430751,1.7545742525481904,1.0,263686065220.0,2e-06,4e-06,3.2622694802482184e-05,3.098823428257485e-05,0.2911074235386161,0.2636776338406107
GLD,195605.07431992303,0.0,2,0,195605.07431992303,2,63.0,0.171326,0.171326,,2,1,0,148206.2375116243,0.0,148206.2375116243,0.0,2,0,3.126790602711074,220799.0,0.0,195605.07431992303,LONG,97802.53715996152,0.0,0.242319,0.0,99.0,1.0,440.284551,0.0,0.0,0.0,0.0,0.2159989761904762,0.18
HAYW,70.45889580817064,1.946989582053144e-06,1,1,70.45889775516022,2,34.0,1545.0,,1545.0,2,0,0,0.0,0.0,70.45889580817064,1.946989582053144e-06,1,1,36188635.24368228,160000.0,115875.0,70.45889386118105,LONG,70.45889580817064,1.946989582053144e-06,0.0,0.0,99.0,1.0,3223361660.0,5e-05,3.6e-05,0.00021858824184243302,6.040245518255448e-12,0.3247294353833555,0.4388757833933558
HUN,1.1922855344384868e-08,2.3612494027419497e-08,3,6,5.914784339922386e-08,9,39.666667,0.595196,1.075309,0.35514,9,1,0,7.005894351719622e-09,0.0,7.005894351719622e-09,6.502630220994018e-09,3,6,1.8455984423355192,181153.0,280875.0,-1.168963868303463e-08,SHORT,3.974285114794956e-09,3.935415671236583e-09,0.412398,0.724611,0.5049384165238839,1.0,2390888455.0,7.6e-05,0.000117,1.6622628740724568e-14,1.646005552039266e-14,0.429197632375156,0.4912576705964439
