ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
CZR,0.0,0.0025832607214426196,0,1,0.005166521442885239,1,32.0,0.550813,,0.550813,1,0,1,0.0,0.0025832607214426196,0.0,0.0025832607214426196,0,1,0.0,0.0,32384.5,-0.0025832607214426196,SHORT,0.0,0.0025832607214426196,0.0,0.0,0.0,1.0,186484091.4470232,0.0,0.000174,0.05,0.08984964410937527
DAL,432.038280800531,6495.783738872177,2,15,10276.872629201762,17,90.235294,0.46918,1.325973,0.35494,17,1,9,132.29118542015527,4128.263878897759,299.74709538037575,1488.1541927978246,2,15,1.3060633617905184,707150.0,1312106.0,-6063.745458071647,SHORT,216.0191404002655,433.05224925814514,0.306202,0.770905,0.06651057026654388,0.7,912619354.7164516,0.000775,0.001438,0.2892160807095798,0.5105548161671066
DDOG,2.4574294151638076,6.651470006009799,3,2,9.226059883059595,5,48.4,0.583515,0.758819,0.320559,5,0,0,0.0,0.0,1.2923704251173282,4.983168820721252,3,2,6.195382872373954,621330.0,289986.0,-4.194040590845991,SHORT,0.8191431383879358,3.3257350030048993,0.474097,0.250817,0.3694565882343975,1.0,675789025.7369217,0.000919,0.000429,0.37460560741783694,0.2791883809179535
DE,0.038398082166793704,0.020777379775737095,1,1,0.1183509238850616,2,93.5,0.32627,0.386555,0.265985,2,0,1,0.0,0.020777379775737095,0.038398082166793704,0.020777379775737095,1,1,1.8480714402512528,31987.5,144225.0,0.01762070239105661,LONG,0.038398082166793704,0.020777379775737095,0.0,0.0,1.8480714402512528,0.7,833202882.312671,3.8e-05,0.000173,0.10865452431564952,0.14517315052636376
DELL,0.0,1226.7564310659998,0,1,2453.5128621319996,1,90.0,1.70625,,1.70625,1,0,0,0.0,0.0,0.0,1226.7564310659998,0,1,0.0,0.0,164825.0,-1226.7564310659998,SHORT,0.0,1226.7564310659998,0.0,0.0,0.0,1.0,1603648764.3394914,0.0,0.000103,0.05,0.12352428146724484
DOCU,0.0,1.4501762402610132,0,1,1.4501762402610132,1,30.0,1.374384,,1.374384,1,0,0,0.0,0.0,0.0,1.4501762402610132,0,1,0.0,0.0,57768.0,-1.4501762402610132,SHORT,0.0,1.4501762402610132,0.0,0.0,0.0,1.0,278341701.62975025,0.0,0.000208,0.05,0.13579317934564739
DVA,0.006433203532727887,0.0,1,0,0.012866407065455774,1,32.0,8.560976,8.560976,,1,0,0,0.0,0.0,0.006433203532727887,0.0,1,0,0.0,71750.0,0.0,0.006433203532727887,LONG,0.006433203532727887,0.0,0.0,0.0,99.0,1.0,132496773.57701111,0.000542,0.0,0.29002676202406846,0.05
EBAY,542.6153461061789,0.0,2,0,542.6153461061789,2,60.0,0.26715,0.26715,,2,0,0,0.0,0.0,540.7126568530838,0.0,2,0,284.18337675135837,160400.0,0.0,542.6153461061789,LONG,271.30767305308945,0.0,0.003507,0.0,99.0,1.0,470505752.30969125,0.000341,0.0,0.25437115482271067,0.18
EXE,4.47379461466996,0.0,1,0,8.94758922933992,1,30.0,0.559334,0.559334,,1,0,0,0.0,0.0,4.47379461466996,0.0,1,0,0.0,224125.0,0.0,4.47379461466996,LONG,4.47379461466996,0.0,0.0,0.0,99.0,1.0,430027509.40717125,0.000521,0.0,0.14101961125106532,0.05
FCX,200.21511232874968,329.8153135430348,5,4,730.6081501150067,9,74.444444,0.138149,0.128169,0.150624,9,2,0,0.7332461056541425,0.0,195.2975206852986,327.6157880153401,5,4,309.9321482496006,280312.0,168349.0,-129.6002012142851,SHORT,40.043022465749935,82.4538283857587,0.024562,0.006669,0.6070522019670421,1.0,1011453069.5733621,0.000277,0.000166,0.307267476554338,0.2420135270022777
FDX,0.0,1103.5318729482105,0,1,1103.5318729482105,1,90.0,5.41573,,5.41573,1,0,0,0.0,0.0,0.0,1103.5318729482105,0,1,0.0,0.0,112995.0,-1103.5318729482105,SHORT,0.0,1103.5318729482105,0.0,0.0,0.0,1.0,744705197.6463501,0.0,0.000152,0.05,0.21783997117782228
FOUR,0.07385737157469027,0.0,1,0,0.07385737157469027,1,93.0,1.495183,1.495183,,1,0,0,0.0,0.0,0.07385737157469027,0.0,1,0,0.0,51600.0,0.0,0.07385737157469027,LONG,0.07385737157469027,0.0,0.0,0.0,99.0,0.7,123518942.80593796,0.000418,0.0,0.161742763602619,0.02857142857142857
