ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
BTDR,113576.18309503674,2420.6325565558614,5,1,118417.44820814846,6,49.666667,4.957609,3.524955,12.120879,6,2,0,92448.26655469579,0.0,48563.50306336433,2420.6325565558614,5,1,4.604785875694179,648323.0,38713.0,111155.55053848088,LONG,22715.236619007348,2420.6325565558614,0.572415,0.0,46.92004277453653,1.0,1675086784.0,0.000387,2.3e-05,0.7536212374014787,0.40211092916182806
BX,26107.49931337405,6.082197610727824,3,2,48891.400089096736,5,71.6,1.652089,0.930944,2.733808,5,0,0,0.0,0.0,22655.88741903536,4.977910681762645,3,2,8037.443210536555,123650.0,460425.0,26101.41711576332,LONG,8702.499771124683,3.041098805363912,0.132208,0.181561,99.0,1.0,81365274197.0,2e-06,6e-06,0.2609610047418537,0.35086865879326395
C,72977.60681284417,36569.95786432399,5,6,204027.80063834426,11,72.090909,0.739174,1.453871,0.143592,11,1,2,68032.29276780323,13071.662132948833,68032.29276780323,15038.053688464528,5,6,150.7403153916169,539692.0,620134.5,36407.64894852018,LONG,14595.521362568834,6094.992977387331,0.067765,0.588787,1.9955616870983013,1.0,196640949802.0,3e-06,3e-06,0.3537988800790369,0.32180668574474613
CCL,0.0,119175.4008532652,0,4,175747.74047450625,4,90.5,0.19736,,0.19736,4,0,1,0.0,22694.80650823285,0.0,59137.20804662075,0,4,1.8073346097747023,0.0,221508.0,-119175.4008532652,SHORT,0.0,29793.8502133163,0.0,0.50378,0.0,0.7,13339746633.0,0.0,1.7e-05,0.10688926166166567,0.31461602852509596
CMG,0.0,132914.69279895414,0,3,132914.69279895414,3,80.333333,37.312938,,37.312938,3,0,1,0.0,0.0006473520847770305,0.0,132914.07566200144,0,3,205320559.36358386,0.0,327405.0,-132914.69279895414,SHORT,0.0,44304.897599651384,0.0,5e-06,0.0,1.0,41898947910.0,0.0,8e-06,0.18,0.4823973486945929
CNC,7.600552314097132,64.73072404064739,1,3,79.93182866884165,4,86.0,2.672472,4.516854,2.057678,4,1,1,7.600552314097132,19.525196598324282,7.600552314097132,31.618006423387133,1,3,0.7681870601073107,30720.0,273920.0,-57.13017172655026,SHORT,7.600552314097132,21.57690801354913,0.0,0.511546,0.11741800245157766,1.0,16503834760.0,2e-06,1.7e-05,0.24939332471469483,0.29912237416327964
COHR,73934.35585382907,7458.3592909872705,3,1,113995.28550703269,4,56.25,1.578643,0.341877,4.052174,4,0,0,0.0,0.0,44984.6137223573,7458.3592909872705,3,1,5.08876004142057,181320.0,186945.0,66475.9965628418,LONG,24644.78528460969,7458.3592909872705,0.39156,0.0,9.912951759131774,1.0,45612459773.0,4e-06,4e-06,0.3030624177397088,0.35696993068071325
COIN,115533.74084373977,3819473.5193382152,3,5,4095681.864077213,8,65.375,1.196376,0.39356,1.678066,8,0,1,0.0,948014.5297397549,45410.897957346584,1641254.769812994,3,5,2.694386785302379,132025.0,4113727.0,-3703939.7784944754,SHORT,38511.246947913256,763894.703867643,0.606947,0.570293,0.030248603703831367,1.0,38670896780.0,3e-06,0.000106,0.31982002157627054,0.7368664111726269
COUR,37.40591863756537,94657.03874106299,1,3,189351.48340076354,4,49.75,0.531104,0.172394,0.650674,4,1,3,37.40591863756537,94657.03874106299,37.40591863756537,40406.245760464306,1,3,2.6177109235200304,118355.0,118432.5,-94619.63282242542,SHORT,37.40591863756537,31552.346247020996,0.0,0.57313,0.0003951731338214617,1.0,982288000.0,0.00012,0.000121,0.4259341400192013,0.5953426977081635
CRWD,110127.16635808151,55714.82433838945,5,3,166003.36309132876,8,66.5,0.473287,0.728534,0.047877,8,2,0,39756.12155186884,0.0,57844.77994130836,43686.93675124182,5,3,152.995025909115,1954025.0,215805.0,54412.342019692056,LONG,22025.4332716163,18571.608112796483,0.474746,0.215883,1.9766223382346744,1.0,99573964016.0,2e-05,2e-06,0.4221781908514835,0.2719036266461424
