ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bullish_score_raw,checks_passed,checks_failed
GEV,100301.36657456131,89779.90764006675,9,11,255113.95730126387,20,70.75,0.733443,0.416396,1.018785,20,4,2,91822.06455851208,21171.944012818683,58760.92898202349,36145.82691820546,9,11,32.744677267296254,1299627.5,1248182.0,10521.458934494556,LONG,11144.596286062368,8161.809785460614,0.414156,0.597395,1.1171916881077193,1.0,235331565608.0,6e-06,5e-06,4.09376562151486,0.42579164032964917,0.40937656215148605,none,none
MRNA,689731.7753917649,73181.99219025421,1,2,762913.7675820192,3,92.0,0.519805,0.046931,0.756242,3,0,0,0.0,0.0,689731.7753917649,73164.08128871216,1,2,42593.939500421424,690150.0,153065.0,616549.7832015108,LONG,689731.7753917649,36590.996095127106,0.0,0.000245,9.424883837524415,0.7,21156904944.0,3.3e-05,7e-06,4.092849387034719,0.28932725067354653,0.4092849387034719,"ema_pullback, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned"
GOOG,770976.8171929759,1684114.2118970153,7,11,3421485.686376001,18,78.555556,0.325382,0.321523,0.327838,18,1,2,751751.2105965525,815011.9430077659,751751.2105965525,802175.1802909201,7,11,29.91329399502389,1686449.0,3195731.0,-913137.3947040394,SHORT,110139.54531328227,153101.29199063775,0.024937,0.523681,0.45779366491096485,1.0,1879382770000.0,1e-06,2e-06,3.9824073619699636,0.4980018305630909,0.39824073619699635,none,none
GOOGL,430257.6631354766,159554.00011346035,5,7,846506.0033233818,12,79.5,0.408363,0.448577,0.379639,12,0,1,0.0,4325.9050521240315,160217.8978787046,94190.32994715497,5,7,13.804890765017273,1013717.0,651785.0,270703.66302201623,LONG,86051.53262709532,22793.428587637194,0.627623,0.409665,2.6966272411190966,1.0,1635516240000.0,1e-06,0.0,3.8672535762002895,0.35630263711804,0.38672535762002896,none,trend_aligned
HOOD,250616.84098156876,239409.44767312144,7,5,616424.6895153177,12,86.666667,1.269774,0.378345,2.517776,12,0,1,0.0,9278.118585107797,174976.5214405007,113286.19468273838,7,5,26.580613037763168,561606.0,1604968.0,11207.393308447325,LONG,35802.40585450982,47881.889534624286,0.301817,0.52681,1.0468126609763093,1.0,55580344909.0,1e-05,2.9e-05,3.856959574685477,0.5787925396152127,0.3856959574685477,none,none
GS,248642.95297123923,514006.21199584845,6,5,1010327.6649096867,11,80.363636,0.252294,0.236712,0.270991,11,0,1,0.0,1806.8328523971766,75722.27854759518,385395.5623530556,6,5,5.138261051596382,413877.5,893107.5,-265363.25902460923,SHORT,41440.492161873204,102801.24239916969,0.695458,0.250212,0.48373530741151327,1.0,244120823754.0,2e-06,4e-06,3.78796423947809,0.39021046591460923,0.378796423947809,none,none
UNG,20.552878751898202,2497.7534645678975,1,1,5016.059807887693,2,114.0,0.254747,0.190256,0.319238,2,0,0,0.0,0.0,20.552878751898202,2497.7534645678975,1,1,243.0563129106391,66669.0,35000.0,-2477.200585815999,SHORT,20.552878751898202,2497.7534645678975,0.0,0.0,0.008228545788626812,0.7,822871397.0,8.1e-05,4.3e-05,3.720444981102251,0.2858129818543105,0.3720444981102251,none,trend_aligned
ADBE,169738.95730393392,151375.45785939437,6,4,472286.888299384,10,80.3,0.348591,0.426235,0.232125,10,0,1,0.0,1141.2505894845153,93254.89238462939,58105.324699121724,6,4,17.586028743999936,635007.0,237563.5,18363.499444539542,LONG,28289.82621732232,37843.86446484859,0.450598,0.616151,1.1213109423695125,1.0,97363696000.0,7e-06,2e-06,3.632945976665529,0.355273114092648,0.3632945976665529,none,trend_aligned
AMZN,782132.9607795414,519920.9230056454,5,7,1689521.8847383633,12,61.583333,1.823319,0.330906,2.889328,12,1,1,233143.96004565895,136821.52596921177,331882.4304984597,136821.52596921177,5,7,1.5748040548572446,1171937.0,807982.5,262212.037773896,LONG,156426.5921559083,74274.41757223506,0.57567,0.736842,1.5043306129287066,1.0,2227925477360.0,1e-06,0.0,3.5805871932444617,0.5093095948544133,0.35805871932444616,none,none
SHEL,0.9258496310426202,84658.9138589604,2,4,169319.67849094517,6,74.166667,9.727225,4.222328,12.479674,6,1,1,0.9249233933265213,84239.50965843222,0.9249233933265213,84239.50965843222,2,4,15356.154216091709,310040.5,845033.0,-84657.98800932936,SHORT,0.4629248155213101,21164.7284647401,0.001,0.004954,1.093623327822351e-05,1.0,262190208154.0,1e-06,3e-06,3.5583333333333336,0.44834436727602156,0.35583333333333333,none,none
