ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bearish_score_raw,checks_passed,checks_failed
AAL,896054.483033325,776914.2031204253,5,6,2005182.2462181177,11,49.090909,0.777321,1.205665,0.420367,11,1,1,322813.74849720014,32986.837193550025,322813.74849720014,242103.55365357743,5,6,1.1354577530638237,1042538.0,831958.0,119140.27991289971,LONG,179210.89660666502,129485.7005200709,0.639739,0.688378,1.1533506266642835,1.0,7415220355.0,0.000141,0.000112,0.24167979915232743,0.1746215140225201,0.5751387180687394,5.288115081514876,0.5288115081514876,none,none
CHTR,2343.550923120509,22205.299696809547,3,5,26892.75622057388,8,68.75,1.070474,0.170967,1.610179,8,1,1,0.19401398640700618,0.548691509721957,2333.9730856974525,8707.663841077867,3,5,1339.679864015431,558743.0,1833675.0,-19861.748773689036,SHORT,781.1836410401697,4441.0599393619095,0.004087,0.607857,0.10554016181358859,1.0,28656719539.0,1.9e-05,6.4e-05,0.00027260051171489736,0.001549744705885789,0.27917974208580054,5.261010671118058,0.5261010671118058,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned
OSCR,6899.93614399356,0.03382061429564029,5,4,6900.083172310486,9,52.444444,0.799891,0.554098,1.107132,9,0,0,0.0,0.0,6899.822752630325,0.02140865662503056,5,4,6793333.556609802,304570.0,937026.0,6899.902323379264,LONG,1379.987228798712,0.008455153573910072,1.6e-05,0.366994,99.0,1.0,4058190360.0,7.5e-05,0.000231,0.0034004990066525908,2.083478798148363e-08,0.4377165053591114,5.2549892,0.52549892,none,not_extended
NBIS,1441033.8498765053,1660598.726392671,3,2,3131157.598053515,5,43.6,5.222339,0.283963,12.629902,5,0,0,0.0,0.0,1071016.44130241,1500286.4961088053,3,2,1.0080063016423195,1609180.5,1920626.0,-219564.87651616568,SHORT,480344.6166255018,830299.3631963355,0.256772,0.096539,0.8677796911279537,1.0,30920489363.0,5.2e-05,6.2e-05,0.1553483229150605,0.26852723883144175,0.33333918960422076,5.171268964830761,0.5171268964830761,none,none
BTDR,1455159.4784863675,246219.92317035873,5,3,1950751.424251816,8,40.5,10.250196,16.33371,0.111006,8,1,2,104779.14339435179,103306.76957667223,1105170.2840315467,142913.1535936865,5,3,0.4799857002273659,1608474.0,270744.5,1208939.5553160089,LONG,291031.8956972735,82073.3077234529,0.240516,0.419571,5.90999891377412,1.0,2162612042.0,0.000744,0.000125,1.3457425097296922,0.37951008377605666,0.6966695708193764,5.139287363829661,0.5139287363829661,none,none
FLEX,0.3049007251341995,31016.489143265797,4,7,31016.796029738554,11,42.636364,2.095318,1.103967,2.661804,11,0,3,0.0,5.801037680811275e-05,0.3048830707405073,31016.487098693426,4,7,783046212.4635516,1690403.5,771940.0,-31016.18424254066,SHORT,0.07622518128354988,4430.927020466543,5.8e-05,0.0,9.8302784601396e-06,1.0,28792544988.0,5.9e-05,2.7e-05,2.647392973261606e-08,0.001538914681669592,0.4222896073184033,5.1102982440705835,0.5110298244070584,none,none
DELL,137219.46421841154,82849.91309188021,11,16,291939.96464231465,27,49.777778,0.68415,1.10417,0.395386,27,1,8,6714.643080353743,68569.88535271953,53269.63278450147,50076.67061144929,11,16,2.910426009643353,1294955.5,1805651.5,54369.551126531325,LONG,12474.496747128322,5178.119568242513,0.611792,0.395574,1.6562414986028497,1.0,60421190442.0,2.1e-05,3e-05,0.0020645897003805217,0.0008570038972027762,0.44753722754469716,5.095958983283642,0.5095958983283642,none,none
CRM,61598.872428416515,72049.44415613558,11,15,219843.49413486943,26,70.192308,1.009775,0.627192,1.290336,26,3,8,4386.466240627535,22584.331486473013,20807.529907640914,47584.5389510901,11,15,6937.655459803385,2097376.0,1935007.5,-10450.571727719063,SHORT,5599.897493492411,4803.296277075705,0.662209,0.339557,0.8549527779135668,1.0,159512860000.0,1.3e-05,1.2e-05,0.0003510624468455026,0.0003011228233934057,0.4263709141552736,5.023602791241237,0.5023602791241237,none,none
EFA,43062.32601382167,6222.535420626836,12,9,92347.20111158346,21,67.0,14.102859,20.72903,2.743709,21,0,2,0.0,6222.503059493999,40523.591033762576,6222.503059493999,12,9,5.2644881004312595e+17,794788.0,1000105.0,36839.79059319483,LONG,3588.5271678184727,691.3928245140928,0.058955,5e-06,6.920382625878847,1.0,75947379264.0,1e-05,1.3e-05,0.0004725017772297877,9.10357712424478e-05,0.48123545175442206,4.873708151076546,0.48737081510765456,none,none
INTC,1455116.0583818923,1175985.1973383934,7,8,4327275.486543728,15,44.266667,6.852366,0.739237,12.201354,15,1,1,173706.62754254462,4664.208856099752,899103.0020906456,722269.1622397933,7,8,20.038490628988487,1867976.0,1714961.0,279130.86104349885,LONG,207873.7226259846,146998.14966729918,0.382109,0.385818,1.2373591620670528,1.0,325574100000.0,6e-06,5e-06,0.0063848359751584845,0.004515044337596239,0.3252016809855601,4.7046143857735405,0.470461438577354,none,none
MOD,56451.98189704322,6195.039124681068,3,5,125284.9547282545,8,34.875,0.918603,2.309022,0.362435,8,1,1,56442.89458184914,8.7207476527139,56442.89458184914,2480.268163169614,3,5,4721.599783755929,855636.0,848940.0,50256.94277236215,LONG,18817.327299014407,1239.0078249362136,0.000161,0.599636,9.112449616684135,1.0,13551390317.0,6.3e-05,6.3e-05,0.013885901637272135,0.0009143031054030658,0.5061485157595913,4.5666502177661545,0.4566650217766155,none,none
