ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bullish_score_raw,checks_passed,checks_failed
NVDA,74971.12911932447,18807.867239426112,4,1,121639.83736886647,5,79.0,0.312124,0.309991,0.320654,5,0,0,0.0,0.0,31660.338791187754,18807.867239426112,4,1,0.0,56163.26187989836,LONG,18742.782279831117,18807.867239426112,0.4223,1.0,3.9861579287504623,1.0,34351354727.32195,2e-06,1e-06,0.9286357430872973,0.3065718124505791,0.30352719013885116,"call_wall_clear, confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, structural_breakout, trend_aligned"
VRT,10746.37508542429,5987.438431034422,5,7,26142.748781268827,12,59.916667,0.205232,0.101377,0.279414,12,0,2,0.0,2474.4493480108813,6900.196506211906,3217.81717991653,5,7,0.0,4758.936654389868,LONG,2149.275017084858,855.3483472906318,0.642095,0.537428,1.7948201403997883,1.0,2855395065.9758787,4e-06,2e-06,0.8964598667230222,0.3128501540313656,0.3025379736035411,"call_wall_near, confirmation_volume, gamma_tailwind, healthy_pullback_volume, not_extended, short_dated_noise, trend_aligned","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, pullback_to_support, room_to_target, structural_breakout"
EBAY,7301.196881346797,0.0,2,0,7301.196881346797,2,60.0,0.26715,0.26715,,2,0,0,0.0,0.0,7275.595119545259,0.0,2,0,0.0,7301.196881346797,LONG,3650.5984406733987,0.0,0.996493,0.0,99.0,1.0,470505752.30969125,1.6e-05,0.0,0.8826998533491233,0.115,0.30211493515692833,"call_wall_near, confirmation_volume, healthy_pullback_volume, not_extended, room_to_target, short_dated_noise","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, pullback_to_support, structural_breakout, trend_aligned"
SOXS,4469.517234801092,13828.345062234064,1,1,32126.20735926922,2,56.0,4.552239,1.328358,7.776119,2,1,1,4469.517234801092,13828.345062234064,4469.517234801092,13828.345062234064,1,1,0.0,-9358.827827432971,SHORT,4469.517234801092,13828.345062234064,1.0,1.0,0.32321418179009564,1.0,2190147622.7168655,2e-06,6e-06,0.7998917816102595,0.321678122243128,0.2995690802159834,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
CMG,0.3036647069198161,21987.72513422585,1,3,21988.332463639686,4,50.25,143.285276,460.269231,37.623958,4,0,2,0.0,21910.963411906156,0.3036647069198161,18094.658358174613,1,3,0.0,-21987.42146951893,SHORT,0.3036647069198161,7329.2417114086165,1.0,0.822944,1.3810646852553883e-05,1.0,561417946.5549946,0.0,3.9e-05,0.7814261519441602,0.3746417286882193,0.2990013720984541,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
SOXL,16285.301254881348,21234.16558258132,1,2,37519.46683746266,3,51.333333,0.699573,0.221337,0.938691,3,0,0,0.0,0.0,16285.301254881348,10811.349255958401,1,2,0.0,-4948.864327699974,SHORT,16285.301254881348,10617.08279129066,1.0,0.509149,0.7669386014508809,1.0,4550519082.19794,4e-06,5e-06,0.7042217915829947,0.2859505375050772,0.296627797902598,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
SNDK,17962.212373203332,63688.0486025539,1,7,111557.34936634336,8,82.0,0.654309,,0.654309,8,0,1,0.0,8944.10797495566,17962.212373203332,16792.118608740162,1,7,0.0,-45725.83622935056,SHORT,17962.212373203332,9098.2926575077,1.0,0.263662,0.2820342712224825,1.0,13641609783.607893,1e-06,5e-06,0.6469379919989844,0.3225544246693937,0.29486666228930963,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
CVNA,8102.362295990638,0.0,2,0,16204.724591981276,2,90.0,0.099118,0.099118,,2,1,0,4332.799683913679,0.0,4332.799683913679,0.0,2,0,0.0,8102.362295990638,LONG,4051.181147995319,0.0,0.534758,0.0,99.0,1.0,849701154.2484543,1e-05,0.0,0.6343583552931533,0.115,0.2944799133940591,"call_wall_clear, confirmation_volume, gamma_tailwind, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, short_dated_noise","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, structural_breakout, trend_aligned"
QQQ,18698.37753147043,0.0,1,0,37396.75506294086,1,56.0,0.047262,0.047262,,1,0,0,0.0,0.0,18698.37753147043,0.0,1,0,0.0,18698.37753147043,LONG,18698.37753147043,0.0,1.0,0.0,99.0,1.0,41537768904.985,0.0,0.0,0.6317701417541888,0.115,0.2944003412450158,"call_wall_clear, confirmation_volume, gamma_tailwind, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, short_dated_noise","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, structural_breakout, trend_aligned"
TSLA,41040.88075005467,49808.0246231583,4,3,123589.75748810696,7,72.714286,0.237236,0.375607,0.052742,7,0,0,0.0,0.0,15426.73366831092,23102.402453188995,4,3,0.0,-8767.143873103632,SHORT,10260.220187513667,16602.6748743861,0.375887,0.463829,0.8239812974026812,1.0,22104076582.031826,2e-06,2e-06,0.6198287920865785,0.2947611465157099,0.2940332158740893,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
