snapshot_date,ticker,total_notional,total_volume,print_count,large_print_count,buy_volume,sell_volume,bias,largest_print_notional,marketcap,sector
2026-04-21,USHY,744740.0,20000,1,0,0,0,0.0,744740.0,0.0,—
2026-04-21,ETR,721700.51,6533,1,0,0,0,0.0,721700.51,0.0,—
2026-04-21,UL,698865.67,12169,1,0,0,0,0.0,698865.67,0.0,—
2026-04-21,MSM,689643.78,7134,1,0,0,0,0.0,689643.78,0.0,—
2026-04-21,BIDU,681547.12,5528,1,0,0,0,0.0,681547.12,0.0,—
2026-04-21,LRCX,680000.0,2500,1,0,0,2500,0.0,680000.0,0.0,—
2026-04-21,TRP,678678.0,11300,1,0,0,0,0.0,678678.0,0.0,—
2026-04-21,VRT,630114.1,2065,1,0,2065,0,1.0,630114.1,0.0,—
2026-04-21,JPM,620092.62,1981,1,0,0,0,0.0,620092.62,0.0,—
2026-04-21,RKLB,612542.12,6803,1,0,0,0,0.0,612542.12,0.0,—
2026-04-21,CNI,601207.95,5495,1,0,0,0,0.0,601207.95,0.0,—
2026-04-21,ENB,569333.8,10991,1,0,0,0,0.0,569333.8,0.0,—
2026-04-21,WMB,550314.0,7740,1,0,0,0,0.0,550314.0,0.0,—
2026-04-21,SHEL,535776.63,5987,1,0,0,0,0.0,535776.63,0.0,—
2026-04-21,FTNT,476382.3,5470,1,0,5470,0,1.0,476382.3,0.0,—
2026-04-21,MU,475943.02,974,2,0,0,324,0.0,317999.5,0.0,—
2026-04-21,HIMS,474984.0,16200,2,0,0,16200,0.0,366500.0,0.0,—
2026-04-21,WPC,465785.04,6392,1,0,0,0,0.0,465785.04,0.0,—
2026-04-21,CVX,459837.76,2468,1,0,0,0,0.0,459837.76,0.0,—
2026-04-21,TTE,459314.96,5128,1,0,0,0,0.0,459314.96,0.0,—
2026-04-21,NXPI,448791.0,1988,1,0,0,1988,0.0,448791.0,0.0,—
2026-04-21,USO,439585.66,3400,1,0,0,0,0.0,439585.66,0.0,—
2026-04-21,CL,402362.1,4886,1,0,0,0,0.0,402362.1,0.0,—
2026-04-21,BTI,393190.0,7000,1,0,0,0,0.0,393190.0,0.0,—
2026-04-21,DELL,391521.6,1824,1,0,0,1824,0.0,391521.6,0.0,—
2026-04-21,NOW,388470.83,3769,1,0,0,0,0.0,388470.83,107894900000.0,Technology
