as_of,ticker,direction,conviction_grade,conviction_score,sector,bullish_premium_share,unusual_premium_share,vrp_proxy,far_otm_call_share,far_otm_put_share,dollar_delta_weighted_flow,sector_relative_pct,prem_momentum_z3d,realized_vol_regime,aggressor_bull_share,aggressor_net_prem_bps,ask_side_ratio,directional_sweep_share,gex_total,vanna_total,charm_total,iv_skew_25d,atm_iv_30d,atm_iv_60d,atm_iv_90d,term_slope_30_90,expiry_concentration_top1,max_pain_dist_pct,dealer_net_delta_at_spot,dealer_net_gamma_at_spot,perc_3_day_total_latest,momentum_composite,momentum_score,ret_5d,ret_21d,ret_63d,ret_126d,dist_52w_high,px_vs_sma50,px_vs_sma200,rsi_14,bollinger_z,rel_volume,atr_pct,gap_pct,beta_63d,resid_mom_21d,rel_strength_spy_63d,rel_strength_sector_63d,rel_vol_3d_20d,rel_vol_5d_20d,vol_trend_10d,up_down_vol_ratio_10d,setup_price_score,setup_trend,setup_extension,setup_room,setup_pattern_pts,setup_momentum,setup_confirm_vol,setup_extended,setup_ext_cap_atr,setup_state_rank,setup_is_breakout,setup_is_pullback,setup_is_trend_cont,setup_is_reversal,setup_pattern,setup_family
2026-05-26,ADTN,BULLISH,B+,6.3,Technology,0.703169357809598,,-5.652830188679246,0.7140040846428775,0.0,99694.65136585674,-0.42336632776458993,7.641903,0.6608666768700959,0.86664355,0.94524265,0.85420576,0.0,87272.2885,279370.6546,-104610.3443,,1.027,0.971,0.927,-0.0973709834469327,0.3884046052631579,0.29024081115335876,,,,0.559395,55.9395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26,RDDT,BULLISH,B+,6.3,Communication Services,0.5791834641557628,1.0,-42.671698113207555,0.518432919680688,0.03579319637879621,380345.7349602703,,-1.033531,0.8643946837647349,0.57479521,0.65376725,0.69676728,0.12763838,11548.559000000008,9467590.51,-4353707.1863,,0.687,0.683,0.731,0.06404657933042202,0.4100998122344105,0.053493912986716234,4833671.93559,12216469.98,,0.579298,57.9298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26,VSAT,BEARISH,B+,6.3,Technology,0.3182275218684652,0.46733668341708545,72.2188679245283,1.0,0.0,-338299.99999999994,0.11611501769158422,-0.029256,1.3043932035829122,,,,,45146.7466,1781101.4271999998,-355833.33030000003,,1.042,0.952,0.935,-0.10268714011516313,0.960764144011756,0.42455978823800206,,,,0.636364,63.6364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26,CRDO,BULLISH,B+,6.2,Technology,0.536661979629784,0.15696284488352472,9.007547169811318,,,,-0.37029157522282435,1.272429,0.6223266252659408,0.44826089,-0.34643462,0.88145277,-0.00345353,18965.8601,1464956.3605,-425018.5576,,1.198,1.091,1.034,-0.13689482470784636,0.3909605339524086,0.09507445589919816,,,,0.405311,40.5311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26,HLIT,BULLISH,B+,6.2,Technology,0.5192972606660263,,0.0,,,,-0.11611501769158414,3.598956,1.5703338095261374,0.96520446,2.43885952,0.69431205,0.17393974,149233.02889999998,562571.9204000001,-297559.67100000003,,1.272,1.129,1.095,-0.13915094339622644,0.39338927898612774,0.2636229749631812,,,,0.57967,57.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26,BB,BULLISH,B+,6.1,Technology,0.5096566228249269,0.0,-0.7000000000000028,0.5380908133229986,0.0686997162344329,856487.9660118152,0.6562681954584135,1.394017,1.6783148936554346,0.75537601,3.40219471,0.72455166,0.16173709,4002604.5916,6903933.221,-5667007.375,,1.059,1.008,0.972,-0.08215297450424927,0.1717573770092102,0.1995425957690108,502471.97961,2982182.07,,0.617696,61.7696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,ADTN,BULLISH,A-,7.1,Technology,0.6240111318814707,,-14.099999999999994,0.726468091255577,0.0,433811.9384368161,0.16247511384699875,1.635805,1.042284805436393,0.80547683,3.44233905,0.86780091,-0.05107146,102287.1511,414081.3295,-176736.86380000002,,0.942,0.849,0.884,-0.06157112526539272,0.30316161129834696,0.1017964071856287,,,,0.618519,61.8519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,SHLS,BULLISH,A-,7.1,Technology,0.7545020067474405,,13.84905660377359,0.46859639338855835,0.17837589465863551,94678.1688888754,-0.01578983500766611,2.316592,0.8273001568300444,0.96926247,2.5709844,0.7898137,0.53140361,532654.2625000001,2150884.8027,-741256.9521,,1.165,1.138,1.152,-0.011158798283261908,0.8602934216753431,0.26853650409213187,,,,0.715741,71.5741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,ONDS,BULLISH,A-,6.8,Technology,0.5568274496327037,0.5028115797456938,-68.5132075471698,0.34442004727451614,0.08238736614245055,747117.3391403289,1.533673539440262,36.56146,0.6761408041960404,1.0,1.3674103,1.0,1.0,6940517.193699999,21555373.502600003,-5705694.635399999,,1.092,1.081,1.089,-0.002747252747252851,0.34663957521806,0.23283467587265055,1563061.95864,8987642.57,,0.859788,85.9788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,CLF,BULLISH,B+,6.7,Basic Materials,0.6148038525829499,,3.581132075471686,0.4682823883741565,0.015016596732971116,147202.45307328206,,,0.5685621210966052,0.46677136,0.04298487,0.53133724,0.0157731,3311298.6231000004,13336893.7873,-1239903.8096999999,,0.683,0.742,0.748,0.09516837481698381,0.2129383990069852,0.16698220371071565,818184.04538,5905691.72,,0.526786,52.6786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,SNOW,BULLISH,B+,6.7,Technology,0.5257567134584703,1.0,42.16603773584906,1.0,0.0,47077.84999999999,0.22838051213986585,10.428753,0.8387176854976376,0.64293714,0.27966302,0.41198315,0.10696409,105433.78889999999,923172.3077000002,17727969.929,,0.621,0.59,0.602,-0.030595813204508885,0.45936253033437024,0.3094210227082982,2435845.48029,49352833.44,,0.446958,44.6958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
